;Unnamed: 0;Dominant_Topic;Keywords;Text;CommunityName;Community;TopicName
0;0;2.0;свой, акция, день, москва, пройти, узнать, пожарный, друг, карта, дикий;" ЭкоНовости  Акция раздельного сбора отходов КОГДА  июля (суббота) с  до  ГДЕ Первомайская   ВНИМАНИЕ  НА ЭТОЙ АКЦИИ СТЕКЛО ПРИНИМАТЬСЯ НЕ БУДЕТ ТЕПЕРЬ В МАКУЛАТУРУ НЕЛЬЗЯ СКЛАДЫВАТЬ ЧЕКИ Подробнее ПРАВИЛА сортировки здесь -  Продолжаем сезон сбора растительной органики с проектом Расти Город  Что можно сдать в #горкомпост вы также найдете в правилах сортировки  Также на этой акции будут приниматься ПЕНОПЛАСТ и ПЛАСТИКОВЫЕ КАРТЫ (ТОЛЬКО пластиковые бумажные в ламинации просим не сдавать при наличии металлического чипа необходимо его удалить) Если вы не уверены в каких-то фракциях или что-то не поняли - не переживайте Мы поможем на месте разобраться и досортировать Но для экономии вашего и нашего времени будет очень замечательно если вы учтете пожелания по сортировке Все отходы которые отказались принять волонтеры по объективным причинам просим забирать обратно и выбрасывать самостоятельно  На акции будет организован прием неиспользованных мотков или остатков шерсти спиц для социального проекта Всё Связано С  до  пройдет мастер-класс по изготовлению экоручек Если вы хотите принять участие - просим вас заполнить форму регистрации  Если у вас есть свои стержни для ручек будет здорово если прихватите их с собой  На точке сбора будет осуществляться продажа экотоваров от инклюзивной мастерской ""Город Мастеров""  Если вы готовы стать волонтером на акции - пишите в сообщения группы или под этим постом Даже если вы никогда не занимались раздельным сбором но уже задумывались на эту тему - ваша помощь будет бесценной За пару часов на точке сбора многое встанет на свои места и раздельный сбор не будет вызывать так много вопросов и опасений До встречи на точке РСО Телефон для связи если потеряетесь ()-- Анна";ecoterinburg;0;Активизм
1;1;2.0;свой, акция, день, москва, пройти, узнать, пожарный, друг, карта, дикий; ЭкоНовости А осознанных жителей все больше Прекрасная новость от |Евгения и |Главного магазина цветных носков в Екатеринбурге Теперь можно сдать старые носки в переработку - и получить скидку на новые Минимально  носка Должны быть постиранные Могут быть рванные и непарные Переработку текстиля производит |Вещеворот В процессе переработки он разволокняется и получается нетканый материал ватин;ecoterinburg;0;Активизм
2;2;1.0;россия, воздух, природа, лесной, проект, который, лес, территория, загрязнение, природный;"ЭкоСобытие Почему в Волге больше нельзя купаться Чем туристы угрожают Байкалу Откуда на главной реке России нефтяные пятна и чем грозит Байкалу электростанция в Монголии Что может сделать каждый для сохранения Волги и Байкала Ответ на эти и другие вопросы вы можете узнать на вебинаре  июня в  по Москве Спикеры Цветкова Анастасия - генеральный директор «Фонд Озеро Байкал» Юлия Файзрахманова - член инициативной группы ""Волга и народ против"" (Казань) журналист портала ""Активатика"" урбанист Организатор | Регистрируйся по ссылке Вебинар проходит в рамках всероссийского флешмоба «Вода я люблю тебя» ";ecoterinburg;0;Загрязнение окружающей среды
3;3;2.0;свой, акция, день, москва, пройти, узнать, пожарный, друг, карта, дикий;"ЭкоНовости Акция раздельного сбора отходов от |Чистого Екатеринбурга КОГДА  июня (суббота) с  до  ГДЕ Первомайская   ВНИМАНИЕ СУЩЕСТВЕННО ИЗМЕНИЛИСЬ УСЛОВИЯ ПРИЕМА Не принимается любой пластик с маркировкой  ()  () упаковка ПЭТ () от тортов печенья и конфет зеленое стекло Подробнее обновленные ПРАВИЛА сортировки здесь -  Продолжаем сезон сбора растительной органики с проектом Расти Город Екатеринбург  Что можно сдать в #горкомпост вы также найдете в правилах сортировки Если вы не уверены в каких-то фракциях или что-то не поняли - не переживайте Мы поможем на месте разобраться и досортировать Но для экономии вашего и нашего времени будет очень замечательно если вы учтете пожелания по сортировке Все отходы которые отказались принять волонтеры по объективным причинам просим забирать обратно и выбрасывать самостоятельно  На точке сбора будет осуществляться продажа экотоваров от инклюзивной мастерской ""Город Мастеров"" Подробности опубликуем в ближайшее время До встречи на точке РСО Телефон для связи если потеряетесь ()-- Анна";ecoterinburg;0;Активизм
4;4;3.0;фото, делиться, фотография, страница, часземля, ответьзаприрода, ваш, выбрать, автор_фото, хэштег;ЭкоНовости  Итоги Майской прогулки ) Лампы ртутные –  штуки ) Термометры –  штук ) Батарейки аккумуляторы –  кг ) Техника –  штуки Мы сделали это Прошло  человек И эти люди сделали наш город чище Я рада что снова полноценно соединила две мои деятельности организацию мероприятий и экологию По сути интегрируя в первое - второе Спасибо всем кто помогал кто сдавал и кто организовывал Спасибо ЕМУП КРППО  на Пушкина а Это их лицензированный мобильный пункт был на страже экологии Фото |Даши И наши на телефон);ecoterinburg;0;Фотографии
5;5;7.0;пластик, который, пластиковый, пакет, одноразовый, мусор, упаковка, каждый, делать, стать;"ЭкоСобытие Друзья Открыта регистрация на экологический квест |""Чистые Игры в Екатеринбурге  мая начало в  Шарташские Каменные Палатки Для участия в эко-квесте собери команду из - человек зарегистрируй на сайте игры   мая  пройдет всероссийский весенний турнир по Чистым Играм Тысячи игроков в разных городах России будут собирать мусор учиться раздельному сбору участвовать в активностях и становиться экологически сознательными В игровой форме мы хотим изменить отношение людей к мусору Это ценный ресурс который можно использовать вторично сдавая в переработку  мая в Свердловской области также пройдут Чистые Игры в гПервоуральск и сПатруши Для тех кто забыл что такое ""Чистые Игры"" напоминаем ""Чистые Игры"" – это всероссийский экологический проект стартовавший в  году За это время было проведено  игр и собрано  тонн мусора Участники в игровой форме получают опыт обращения с отходами и их сортировки Берут на себя ответственность за очищенную территорию знакомятся друг с другом вместе совершают добрые дела За одну игру - человек собирают - тонн мусора из которых половина уходит в переработку Событие проходит в формате фестиваля где помимо квеста участников ждут конкурсы пикник музыка а победители эко-квеста получают призы от наших спонсоров и партнеров Чистые Игры в Екатеринбурге проходят при поддержке Правительства Свердловской области Министерства экологии и природных ресурсов СО и ГБУ СО ""Шарташский лесной парк"" Наши партнеры Ресурсный центр добровольчества ""Сила Урала"" Спецавтобаза сеть гипермаркетов ЛЕНТА Компания & # ГАЛАМАРТ Додо Пицца Екатеринбург Общественное движение МЫ Квестория  ТРЭВЭЛ УРАЛ Предварительная программа «Чистых игр»  — Регистрация участников Выдача стартовых комплектов  — Приветствие Эковикторина Предстартовый инструктаж  —  - Общий старт Активная фаза игры  — Точки сбора прекращают прием мешков за баллы -  — Сбор команд в штабе лучшие ""артефакты"" команды забирают с собой для участия в конкурсе -  - Подсчет результатов конкурсы пикник  — Объявление результатов и награждение победителей  — Окончание мероприятия погрузка собранного мусора К участию приглашаются все желающие неравнодушные и активные жители города Участие бесплатное Регистрация обязательна  Если ты один собери себе команду в обсуждениях - Следите за новостями в группе Чистые Игры Екатеринбург";ecoterinburg;0;Пластик
6;6;2.0;свой, акция, день, москва, пройти, узнать, пожарный, друг, карта, дикий;ЭкоСобытие Акция раздельного сбора отходов |Чистый Екатеринбург КОГДА  мая (суббота) с  до  ГДЕ двор Первомайская  ПРАВИЛА сортировки здесь - ВНИМАНИЕ На этой акции стекло НЕ ПРИНИМАЕТСЯ  Продолжаем сезон сбора растительной органики с проектом Расти Город Екатеринбург Что можно сдать в #горкомпост вы также найдете в правилах сортировки Если вы не уверены в каких-то фракциях или что-то не поняли - не переживайте Мы поможем на месте разобраться и досортировать Но для экономии вашего и нашего времени будет очень замечательно если вы учтете пожелания по сортировке Если вы готовы стать волонтером на акции - пишите в сообщения группы или под этим постом Мы будем очень рады вашей помощи добрых и нужных рук много не бывает До встречи на точке РСО Телефон для связи если потеряетесь ()-- Анна;ecoterinburg;0;Активизм
7;7;7.0;пластик, который, пластиковый, пакет, одноразовый, мусор, упаковка, каждый, делать, стать;Объявляем набор волонтеров на самую масштабную прогулку  мая (воскресение) состоится Майская прогулка которую в этом году мы намерены сделать более экологичной  Нам нужна помощь  На старте находиться на промостойке помогать жителям сдавать батарейки технику Выдавать макеты и перчатки  Находиться на одном из  КП (контрольных пунктов) принимать у жителей их пакеты с мусором благодарить и вдохновлять По сути это всё  Что вы получите - опыт на городских массовых мероприятиях - новые фоточки - питание в течение дня - грамоты и благодарственные письма - море позитивной энергии;ecoterinburg;0;Пластик
8;8;7.0;пластик, который, пластиковый, пакет, одноразовый, мусор, упаковка, каждый, делать, стать;ЭкоСобытие Открыт набор на масштабную посадку деревьев в Екатеринбурге Если забота о родном городе - это не просто слова для тебя то скорее записывайся на посадку и докажи это |ДЕЛОМ Дата  мая  года Время  Район ТЭЦ (в сторону Берёзовского) Скорее регистрируйся на посадку как волонтёр или как участник  Организаторы   Телефон и контакт мы просим в целях оперативного информирования в случае изменения меставремени посадки;ecoterinburg;0;Пластик
9;9;7.0;пластик, который, пластиковый, пакет, одноразовый, мусор, упаковка, каждый, делать, стать;"ЭкоСобытие Представляем новую настольную игру ""Сортируй"" от | Байкальского Интерактивного Экологического Центра Игра знакомит детей с раздельным сбором отходов позволяет взрослым в игровой форме объяснить детям необходимость сортировки бытовых отходов для их последующей переработки поговорить о материалах используемых для производства тех или иных предметов быта Плюс игра развивает память наблюдательность и волю к победе Количество игроков от двух до восьми (большее количество игроков может быть поделено на команды) Время игры – - минут Возраст игроков – от трёх лет Стоимость игры -  рублей Для заказа пишите |Ане или по телефону  (Вайбер Вотсап)";ecoterinburg;0;Пластик
10;10;2.0;свой, акция, день, москва, пройти, узнать, пожарный, друг, карта, дикий;"ЭкоСобытие Первые |""Чистые игры"" в Среднеуральске Экологический командный квест по очистке территории Собери команду из - человек зарегистрируй на сайте игры приходи   апреля в  к месту старта - Городской пляж озеро Исетское Наше мероприятие мы проводим совместно с нашими друзьями из ""Среднеуральск-Здоровая Инициатива"" Участвуй в международной экологической игре для сохранения чистоты Побеждай и получай призы Ссылка на регистрацию  Если ты один собери себе команду в обсуждениях - Предварительная программа «Чистых игр»   — Регистрация Выдача стартовых комплектов   — Приветствие Эковикторина Предстартовый инструктаж   — Общий старт Активная фаза игры   — Точки сбора прекращают прием мешков за баллы   — Сбор команд на финише Подсчет результатов Для участников мастер-классы музыка пикник общение   — Объявление результатов и награждение победителей   — Окончание мероприятия Во время мероприятия пройдет мастер-класс по посадке деревьев Вы узнаете как правильно сажать и ухаживать за саженцем чтобы он вырос в прекрасное дерево Посадите свое дерево Саженцы и мастер-класс от ""Среднеуральск-Здоровая Инициатива"" Сделаем наш лес у озера Чище Зеленее Здоровее  Участие бесплатное Регистрация обязательна Как подготовиться и что взять с собой  Удобно одеться для активной уборки и по погоде дождевик репеллент термос с чаем  рюкзак для хранения вещей хорошее настроение и позитивный настрой Мешки перчатки и инвентарь выдаются на месте Вступайте в группу мероприятия Чистые игры Среднеуральск - здесь будут выкладываться все новости правила изменения по игре #ЧистыеИгрыСреднеуральск #чистыеигры #ЧистыйГород #экология #мусор #Среднеуральск";ecoterinburg;0;Активизм
11;11;7.0;пластик, который, пластиковый, пакет, одноразовый, мусор, упаковка, каждый, делать, стать;ЭкоВолонтеры Уральская ночь музыки будет экологичней Ну и само собой не без помощи наших друзей и коллег А вот еще новость которую попросили организатору опубликовать |ЭкоДесант ждет тебя  Если ты любишь природу и тебе не все равно если ты хочешь стать частью одной большой команды которая делает наш мир чуточку экологичнее то |тебе к нам ЭКО волонтеры ночи музыки - это команда борцов за бережное отношение к природе которые расскажут и покажут гостям фестиваля как сортировать мусор куда сдавать батарейки и помогут разобраться в маркировке пластика Куратор направления |Анастасия Агафонова Интересно Заполняй заявку и добавляйся в друзья куратору # # # #Екатеринбург #УральскаяНочьМузыки #УральскаяНочьМузыки #СтарыйНовыйРок # #;ecoterinburg;0;Пластик
12;12;2.0;свой, акция, день, москва, пройти, узнать, пожарный, друг, карта, дикий; ЭкоАкция Раздельный сбор отходов от |Чистого Екатеринбурга КОГДА  апреля (суббота) с  до  ГДЕ сад Вайнера (ориентир Первомайская В) ПРАВИЛА сортировки здесь -  Открываем сезон сбора растительной органики с проектом |Расти Город Что можно сдать в #горкомпост вы также найдете в правилах сортировки  На этой акции принимаем стекло Если вы не уверены в каких-то фракциях или что-то не поняли - не переживайте Мы поможем на месте разобраться и досортировать Но для экономии вашего и нашего времени будет очень замечательно если вы учтете пожелания по сортировке До встречи на точке РСО Телефон для связи если потеряетесь ()-- Анна;ecoterinburg;0;Активизм
13;13;2.0;свой, акция, день, москва, пройти, узнать, пожарный, друг, карта, дикий; ЭкоСобытие Итак друзья Уже в эту субботу встречаемся в кофейнях города в приятной компании |Чашка тепла скоро стартует Готовьте свои вопросы объятия и хорошее настроение Полную афишу лекций скоро выложим  апреля - Сила Воли Толмачева  кофейня ;ecoterinburg;0;Активизм
14;14;1.0;россия, воздух, природа, лесной, проект, который, лес, территория, загрязнение, природный;ЭкоСобытие  апреля в музейном доме купцов Агафуровых состоится экологический танцевальный перфоманс Вас ждёт погружение в отношения между человеком и природой как было как есть как может и как должно быть а также где в этой истории находитесь вы Для посещения необходима регистрация Заход будет осуществляться по  человек в группе Продолжительность перфоманса — около  минут а после будет возможность пообщаться с участниками перфоманса Мы ждем всех неравнодушных Тех кто заботится о природе любит музыку и танцы поддерживает благотворительные акции и не упускает возможности завести новые знакомства За подробностями  Ссылка на регистрацию --;ecoterinburg;0;Загрязнение окружающей среды
15;15;2.0;свой, акция, день, москва, пройти, узнать, пожарный, друг, карта, дикий;ЭкоАкция Раздельный сбор отходов КОГДА  апреля (суббота) с  до  ГДЕ Первомайская  (дворовое пространство) ПРАВИЛА сортировки здесь - Внимание Стекло текстиль и опасные отходы приниматься не будут Новая принимаемая фракция - пенопласт и вспененный полистирол  любого цвета (маркировка ) за исключением подложек от мяса и рыбы Если вы не уверены в каких-то фракциях или что-то не поняли - не переживайте Мы поможем на месте разобраться и досортировать Но для экономии вашего и нашего времени будет очень замечательно если вы учтете пожелания по сортировке До встречи на точке РСО Телефон для связи если потеряетесь  () -- Анна;ecoterinburg;0;Активизм
16;16;7.0;пластик, который, пластиковый, пакет, одноразовый, мусор, упаковка, каждый, делать, стать;"ЭкоСобытие Благотворительный сбор макулатуры в пользу бездомных животных будет проходить  марта с  до  часов у метро ""Динамо""   марта с  до  часов у метро ""Пл  года"" Принимаются любые виды бумажной продукции обрезки из шредера журналы (в том числе глянец) газеты книги бумагу картон и тд Пожалуйста если у Вас есть место в машине помогите с вывозом макулатуры тем у кого нет автомобиля Список указан на странице группы  Благотворительные сборы проводятся в пользу бездомных животных находящихся на попечении Благотворительного фонда помощи бездомным животным города Екатеринбурга  Вы можете самостоятельно сдать макулатуру для Фонда  Приезжайте в любой день на пункт приёма по адресу г Екатеринбург ул Артинская  ""В"" Часы работы с  до  в будние дни Часы работы с  до  в выходные дни Вы можете связаться с пунктом в будние дни с  до  позвонив по телефону () --  Сделайте запись в журнале сдачи Журнал находится в офисе пункта на втором этаже лестница слева за машинными весами В выходные дни Вам могут выдать листок с точным сданным весом и подписью не переживайте этот вес обязательно появится в журнале сдачи Фонда  Вывоз макулатуры от  кг и более для этого свяжитесь с Евгением Владимировичем по телефону () -- в будние дни с  до  часов Обязательно уточните что макулатура для Фонда помощи бездомным животным Можно приносить для животных сухие и влажны корма консервы крупы (рис гречка геркулес) макароны наполнитель и другое  В рамках акции ""Важная мелочь"" мы принимаем мелочь (монеты) Подробности об акции можно найти  и Контакты Координатор акции от Фонда - Анастасия тел моб +()-- Координатор вывоза Евгений Владимирович Телефоны в Екатеринбурге () -- () -- () -- пункт по адресу ул Артинская  ""В""   до  будни с  до  выходные Спасибо Вам от всей души Благодаря Вам есть шанс что мы спасем ещё больше животных Вместе мы можем многое";ecoterinburg;0;Пластик
17;17;1.0;россия, воздух, природа, лесной, проект, который, лес, территория, загрязнение, природный;ЭкоСобытие Новый урок от |Экокласса «Моря России угрозы и сохранение» С помощью нового урока ученики узнают почему моря и океаны жизненно важны для всех существ обитающих не только в воде но и на суше что дают моря и океаны людям каковы особенности жизни в водной среде и как проводится освоение и исследование Мирового океана Ученики отправятся в гости к обитателям подводного мира создадут исследовательские команды которые добудут информацию о влиянии людей на здоровье Океана На сайте   вы найдете материалы необходимые для подготовки и проведения урока Урок «Моря России угрозы и сохранение» можно провести для школьников любого возраста;ecoterinburg;0;Загрязнение окружающей среды
