Text;Date;LikesCount;RepostCount;URLs
Новости дня. Шиес сегодня. Россия. Шиес, последние новости. Отстояли болото. «Антимусорный» бунт в Ш;02 07 2019 13:05:35;0;1;
Пейзаж на фоне свалки: почему в Коми буксует мусорная реформа;01 07 2019 9:31:48;0;0;
Коми утопает в мусоре;30 06 2019 11:31:43;0;0;
Поводок, намордник, совок и билет в автобус: как правильно выгуливать и перевозить животных;30 06 2019 7:48:44;0;0;
К предыдущему посту https://vk.com/wall-142440638_5834: спасибо за оперативность! Всё убрано!  Уважаемые жители, сообщайте о мусорных проблемах в нашей группе. Ваши сигналы замечают. Работает!!! #Щельяюр #Коми #мусоруНет;10 06 2019 20:01:37;0;0;https://pp.userapi.com/c850428/v850428188/14167f/tP750GLgB8Y.jpg https://pp.userapi.com/c854428/v854428188/66017/GkoLkz_NLqE.jpg
Уважаемая администрация п.Щельяюр! Зачем нам нужна такая мусорная реформа?! Почему население должно оплачивать услуги, которые не оказываются?!!! Улица Рабочая #Щельяюр #Коми #мусоруНет;09 06 2019 12:40:20;2;0;https://pp.userapi.com/c849120/v849120469/1a767a/2a70-Z2Q5Nw.jpg https://pp.userapi.com/c850624/v850624469/14070e/4F1fVGSKO9E.jpg
Чисто не там, где убирают, а там, где не сорят!;04 06 2019 15:05:20;4;0;
Архангельского журналиста оштрафовали на 400 тысяч рублей за участие в антимусорном митинге;30 05 2019 8:58:27;0;0;
Эксперты выяснили, чью кровь любят комары;27 05 2019 7:04:49;1;0;
Вопрос: Участок грунтовой дороги Ижма- Диюр проехать очень сложно, так как дорога разбита большегрузным транспортом. Если не будут установлены ограничительные знаки для большегрузов, то , участок дороги будет непроезжим. Что нужно сделать, чтобы дорожные службы обратили на это внимание?  Ответ: Автомобильная дорога общего пользования регионального или межмуниципального значения Республики Коми Ираель ? Ижма ? Усть-Цильма на участке км 120 - км 140 между с. Ижма и д. Диюр имеет переходный тип покрытия. Важной особенностью автодорог, имеющих переходный и грунтовый типы покрытия, является потеря несущей способности в осенне-весенний периоды в результате переувлажнения конструктивных слоев дорожной одежды. В настоящее время проезжее состояние данного участка обеспечено.  С целью сохранения автодорог в весенне-осенний периоды Министерством строительства и дорожного хозяйства Республики Коми ежегодно вводятся временные ограничения движения транспортных средств по автомобильным дорогам общего пользования регионального или межмуниципального значения Республики Коми.   В соответствии с Федеральным законом от 8 ноября 2007 года №257-ФЗ «Об автомобильных дорогах и о дорожной деятельности в Российской Федерации и о внесении изменений в отдельные законодательные акты Российской Федерации», Федеральным законом от 29 декабря 2017 года №443-ФЗ «Об организации дорожного движения в Российской Федерации и о внесении изменений в отдельные законодательные акты Российской Федерации», Постановлением Правительства Республики Коми от 10 апреля 2012 года №134 «Об утверждении порядка осуществления временных ограничения или прекращения движения транспортных средств по автомобильным дорогам регионального или межмуниципального, местного значения», подпунктом 36 пункта 10 раздела III Положения о Министерстве строительства и дорожного хозяйства Республики Коми, утвержденного Постановлением Правительства Республики Коми от 28.08.2017 №456, в связи с переувлажнением конструктивных элементов автомобильных дорог, приказом Министерства строительства и дорожного хозяйства Республики Коми №157-ОД «О введении временного ограничения движения транспортных средств по автомобильным дорогам общего пользования регионального или межмуниципального значения Республики Коми» от 10.04.2019 г. введено временное ограничения движения транспортных средств по автомобильным дорогам общего пользования регионального или межмуниципального значения Республики Коми в весенний период 2019 года.  СРОКИ ДЕЙСТВИЯ ОГРАНИЧЕНИЯ ДВИЖЕНИЯ ПО АВТОМОБИЛЬНОЙ ДОРОГЕ ИРАЁЛЬ-ИЖМА - УСТЬ-ЦИЛЬМА СОГЛАСНО ПРИЛОЖЕНИЮ К ПРИКАЗУ С 03 МАЯ 2019 ГОДА ПО 02 ИЮНЯ 2019 ГОДА.  Дополнительно информируем Вас, что в случае ухудшения состояния автодороги до начала срока действия ограничения оно будет введено подрядной организацией в соответствии с п. 23 Постановления Правительства Республики Коми от 10 апреля 2012 года №134 «Об утверждении порядка осуществления временных ограничения или прекращения движения транспортных средств по автомобильным дорогам регионального или межмуниципального, местного значения».  https://signal.rkomi.ru/signal/ogranichenie-dlya-bolshegruzov;22 05 2019 12:51:48;0;0;
"Вопрос: Мусор как раньше собираем в селах, говорят будут вывозить по реке и сколько это будет для нас стоить, будем оплачивать все услуги у регионального оператора. А может и не будут вывозить, но платить заставят за всё.   Ответ: Приказом Министерства энергетики, жилищно-коммунального хозяйства и тарифов Республики Коми от 20.12.2018 № 70/42-Т (в ред. от 18.02.2019) на 2019 год установлены предельные единые тарифы на услугу регионального оператора по обращению с твердыми коммунальными отходами (далее – ТКО) на территории Республики Коми: – в период с 01.01.2019 по 30.06.2019 в размере 1059,80 руб. за 1 куб. м; – в период с 01.07.2019 по 31.12.2019 в размере 1085,24 руб. за 1 куб. м. Прирост тарифа в связи с повышением ставки НДС с 18% до 20% с 01.01.2019 г. составил 1,7%, с 01.07.2019 г. - 2,4% с учетом установленных на федеральном и региональном уровнях ограничений роста платы граждан за коммунальные услуги. При этом рост тарифа с 01.07.2019 связан с необходимостью осуществления календарной разбивки по полугодиям, а не с сезонностью вывоза ТКО. Роста тарифов в иные периоды 2019 года не предусмотрено. По вопросу редкого вывоза ТКО без осуществления сторнирования платежей Министерством энергетики, жилищно-коммунального хозяйства и тарифов Республики Коми направлены материалы в Службу Республики Коми строительного, жилищного и технического надзора (контроля).  https://signal.rkomi.ru/signal/vyvoz-musora-s-pripechyorskih-syol";22 05 2019 12:28:04;0;0;
Дорога зареченцев в мир в беде (((((;16 05 2019 9:30:35;2;0;https://pp.userapi.com/c848620/v848620627/18b9c3/Y4Tc5QgfiwQ.jpg
Дорогие подписчики, с праздником вас, с Днем Великой Победы! Пусть небо над нами всегда было мирным!;09 05 2019 3:18:12;13;3;
#Ледоход и #ледостав на реке #Ижма  @ Гамская библиотека  Ждём ледоход 2019!;02 05 2019 16:02:14;23;5;https://pp.userapi.com/c852016/v852016922/10e545/thgeC8ubIF0.jpg
ШИЕС    Вы знаете что-то про станцию Шиес?  Здесь души людей проверяют на «вшивость»:  Южанин приехал за крупной зарплатой,  А местный от боли душевной заплакал.    Здесь люди стеной перед техникой встали.  И кто-то билеты купил на вокзале,  Чтоб ехать туда, где сегодня творится  Такой беспредел! К нам желает столица    Свой мусор возить, а подземные воды  Отравой наполнят всю землю за годы.  Леса и болота давали бруснику,  Морошку и клюкву, грибы и чернику.    На Севере жить нелегко человеку!  Мы рыбу ловили в озёрах и реках,  Вблизи водоёмов дома возводили  И родиной милой свободной гордились.    Но вот наступает на Север, как тать,  Огромная сила, чтоб земли отнять!  И это не враг чужеземный – дельцы.  У них много денег, и власть, и дворцы.    Их дети прекрасно живут за границей.  А нашим от рака сгнивать по больницам?  Дышать вместо воздуха мерзкой отравой?  Опасными станут и воды, и травы!    Сулят миллиарды… За жизни поморов?  А что получаем-то, кроме поборов?  У нас забирают бокситы, алмазы  И нефть, газ и рыбу. Взамен что? Заразу!    Болезни, мученье и ранние смерти…  Внушают: «Да всё безопасно, поверьте!»  Для вас полигон безопасен. Мы верим!  На Севере вымрут и люди, и звери.    Бульдозеры едут, летят вертолёты  И мчат самосвалы – там столько работы!  Ещё там аресты. Защитников судят!  А вы на чью сторону встанете, люди?      Апрель 2019 г.  Елена Соломбальская. Архангельск. Фото с интернета.;27 04 2019 7:49:05;24;5;https://pp.userapi.com/c853420/v853420554/2ed01/oPkqLW_vmZQ.jpg
Республика Коми в аутсайдерах среди регионов России по росту и убыли населения.;22 04 2019 12:54:05;1;0;
Международный день земли - это День, чествующий чистую Воду, Воздух, Землю,  День, напоминающий всем жителям планеты об экологических катастрофах, День, когда каждый должен задуматься над тем, что лично он «здесь и сейчас» может сделать для решения насущных природоохранных проблем.;22 04 2019 5:51:16;4;1;https://pp.userapi.com/c850620/v850620957/104191/OQd3lcmIrqY.jpg
