Text;Date;LikesCount;RepostCount;URLs
Каковы правила получения комплексных экологических разрешений? Как составить программу повышения экологической эффективности предприятия? Как подготовить отчетность при изменении категории объекта НВОС? Узнайте ответы на эти и другие вопросы, зарегистрировавшись для участия в цикле вебинаров «НПА, регламентирующие технологическое нормирование: новые требования»!  http://promo.paradigma.center/cycle/?utm_source=vkontakte_ep&utm_medium=social&utm_campaign=1_cycle;27 06 2019 8:06:55;35;5;https://pp.userapi.com/c858128/v858128331/14b6/12ZyXitBf9o.jpg
"Коллеги, читайте в следующем выпуске журнала ""Экология производства""   ПРАВОПРИМЕНИТЕЛЬНАЯ ПРАКТИКА  Применение технологических показателей НДТ для расчета технологических нормативов в заявке на получение комплексного экологического разрешения  После рассмотрения в предыдущем номере требований, установленных в отношении технологических показателей, обратим внимание на их применение для расчета технологических нормативов в заявке на получение комплексного экологического разрешения.  ОБРАЩЕНИЕ С ОТХОДАМИ  Требования к откачке содержимого выгребных ям  Что происходит при очистке выгребных ям – «откачка сточных вод» или «прием жидких бытовых отходов»? Каковы условия перехода права собственности на жидкие бытовые отходы в цепочке «заказчик – транспортировщик»? Что необходимо предпринять для лицензирования деятельности приемщиков жидких бытовых отходов? И каковы особенности передачи жидких бытовых отходов на очистку организациям ВКХ?  Как провести инвентаризацию отходов производства и потребления  Для составления программы производственного экологического контроля необходимы сведения об образующихся на предприятии отходах.  Требования к обустройству мест временного накопления отходов  Федеральным законом от 17.06.2019 № 141-ФЗ «О внесении изменений в Кодекс Российской Федерации об административных правонарушениях» устанавливается, что несоблюдение санитарно-эпидемиологических требований к сбору, накоплению, транспортированию, обработке, утилизации или обезвреживанию отходов производства и потребления влечет наложение значительного административного штрафа или административное приостановление деятельности в зависимости от определенных условий. Следовательно, предприятиям важно выполнять требования экологического законодательства, предъявляемые к накоплению отходов и к местам временного их размещения.  Технический отчет по обращению с отходами в 2019 году  В связи с многочисленными вопросами на данную тему предлагаются анализ действующих нормативно-правовых актов и позиций уполномоченных органов по данной теме, а также определенный алгоритм действий в зависимости от категории, присвоенной объекту негативного воздействия.  ОЦЕНКА ВОЗДЕЙСТВИЯ НА ОКРУЖАЮЩУЮ СРЕДУ  Инженерно-экологические изыскания: современная практика  Результаты инженерно-экологических изысканий показывают возможность реализации проектных решений на выбранной территории с точки зрения соблюдения природоохранных и санитарных норм.  ВОДОПОЛЬЗОВАНИЕ  Учет воды на предприятии  Основная цель учета водопотребления и водоотведения на предприятии – получение достоверной информации о том, сколько воды изъято из водных объектов и сколько воды возвращено в природную среду. На основе этих данных формируется различного рода отчетность, а также рассчитываются платежи за негативное воздействие на окружающую среду (НВОС) и водный налог.  ОХРАНА ВОДНЫХ РЕСУРСОВ  Последствия присвоения водному объекту рыбохозяйственной категории и перспективы ее изменения  Постановлением Правительства РФ от 28.02.2019 № 2061 утвержден порядок отнесения водного объекта к объектам рыбохозяйственного значения с определением его рыбохозяйственной категории.  ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ ДЛЯ ЭКОЛОГОВ  Работа в «Модуле природопользователя»: некоторые тонкости и советы  Каждый природопользователь, помимо разработки основной природоохранной документации, обязан ежегодно сдавать большое количество отчетов, расчетов и деклараций. Программное средство «Модуль природопользователя» позволяет подготавливать такую отчетность бесплатно.  ОТВЕТ СПЕЦИАЛИСТА  Информационно-технический справочник по производственному экологическому контролю  Сброс на рельеф  Лимиты на размещение отходов для объектов II категории  Как скорректировать плату с учетом затрат на реализацию природоохранных мероприятий  Зачет или возврат переплаты: за кем решающее слово?  http://promo.ecoindustry.ru";03 07 2019 12:56:05;25;8;https://sun3-1.userapi.com/c854416/v854416361/846fb/Nqyesw6RkwQ.jpg
"Коллеги, вышел июльский номер журнала ""Экология производства""  Напоминаем, что с мая 2019 года расширен функционал электронной версии журнала ""Экология производства""   Все документы доступны для просмотра и скачивания по прямой ссылке!!!  http://mag.ecoindustry.ru/Журнал-Экология-производства-7-за-2019-г/0165935001561992454";03 07 2019 12:02:59;9;2;
"Разработан административный регламент по выдаче КЭР   Росприроднадзором разработан проект Административного регламента выдачи комплексных экологических разрешений (далее соответственно - Проект регламента, КЭР).    Проектом регламента планируется, что выдачу КЭР будут осуществлять территориальные органы Росприроднадзора по месту расположения объекта негативного воздействия на окружающую среду (далее - НВОС).    Предполагается, что в рамках предоставления услуги по выдаче КЭР осуществляются также процедуры (п.59 Проекта регламента):  - выдачи КЭР;  - продления КЭР;  - переоформления КЭР;  - пересмотра КЭР;  - внесения в КЭР изменений;   - исправления технических ошибок (опечаток);  - выдачи дубликата КЭР;  - отзыва КЭР.    Для осуществления вышеперечисленных процедур Проектом регламента планируется установить:  - сроки выдачи, переоформления, пересмотра, продления КЭР, а также сроки внесения изменений в КЭР (п.п.13-17 Проекта регламента);  - полный перечень документов, необходимых для предоставления услуги по выдаче КЭР (п.п.19-27 Проекта регламента);  - порядок осуществления той или иной процедуры, выполняемой в рамках выдачи КЭР (разд.III Проекта регламента).    Проектом регламента предлагаются к утверждению формы:  - заявки на переоформление КЭР;  - заявления об исправлении технических ошибок (опечаток);  - заявления о выдаче дубликата КЭР.    Обращаем внимание, что Проектом регламента планируется установить порядок досудебного обжалования решений и действий (бездействия) территориальных органов Росприроднадзора, осуществляющих выдачу КЭР.    До момента утверждения Проекта регламента выдача КЭР осуществляется в соответствии с Правилами выдачи комплексных экологических разрешений, их переоформления, пересмотра, внесения в них изменений, а также отзыва, утвержденными постановлением Правительства РФ от 13.02.2019 г. N 143.    Рекомендуем ознакомиться с текстом Проекта регламента хозяйствующим субъектам, осуществляющим деятельность на объектах:  - I категории НВОС;  - II категории НВОС и относящихся к области применения наилучших доступных технологий, если данные лица планируют получать КЭР.   Своевременно узнать о готовящихся изменениях законодательства о разработке и получении КЭР вы сможете на наших вебинарах.  http://promo.paradigma.center/cycle/";03 07 2019 11:08:05;41;17;https://sun3-4.userapi.com/c850228/v850228035/186365/y-HBE71QrG0.jpg
"Полезная подборка ответов на вопросы!  Плата за размещение отходов на объектах, которые не оказывают НВОС  Передача отработанного масла в качестве топлива  Необходимые сведения для постановки на госучет  Согласование деятельности в водоохранной зоне  Договор с региональным оператором и лимиты  Нарушение одно, наказаний несколько  Раздельный сбор ТКО и бумажных отходов  Сокращение размера СЗЗ без согласия правообладателя объекта  На кого оформить электронную подпись  Нужна ли лицензия на лом металлургическим заводам  Аккумуляторные батареи. Лом или отход  Транспортирование отходов. Особенности лицензирования  Как заработать на раздельно собранных отходах  Коллеги, ответы на вопросы о получении комплексных экологических разрешений, программе повышения экологической эффективности предприятия и подготовке отчетности при изменении категории объекта НВОС вы сможете получить на цикле наших вебинаров!!!!  В соответствии с действующей редакцией абз. 1 п. 3 ст. 23 ФЗ ""Об охране окружающей среды"" выбросы и сбросы в окружающую среду допускаются на основании разрешений.  Изменения, внесенные в ФЗ ""Об охране окружающей среды"", вступившие в силу 01.01.2019 г. вводят новую систему нормирования НВОС и оформления разрешительной природоохранной документации.  В настоящее время для толкования и анализа доступны лишь положения федерального законодательства, учитывая, что необходимые подзаконные нормативные правовые акты до сих пор не утверждены и не вступили в силу.  Отдельные положения ФЗ ""Об охране окружающей среды"" в редации, вступившей в силу 01.01.2019 г. пролили свет на порядок получения экологической разрешительной документации.  В первую очередь, отметим судьбу ""классических"" разрешений на выбросы и сбросы в 2019 году?  Во-первых, с 01.01.2019 г. п. 3 ст. 23 ФЗ ""Об охране окружающей среды"" будет изложен в новой редакции. В соответствии с действующей редакцией абз. 1 п. 3 ст. 23 ФЗ ""Об охране окружающей среды"" выбросы и сбросы в окружающую среду допускаются на основании разрешений.  Упразднение указанной нормы, привело к тому, что в законе более нет требования ""выбросы и сбросы допускаются на основании разрешений""!  Иными словами, с 01.01.2019 г. из ФЗ ""Об охране окружающей среды"" исключено требование о необходимости наличия (получения) разрешений на выбросы и сбросы для осуществления выбросов и сбросов химических веществ (за исключением радиоактивных) в окружающую среду.  Во-вторых, с 01.01.2019 г. введен институт комплексных экологических разрешений (далее также – КЭР). Согласно ст. 1 ФЗ ""Об охране окружающей среды"": комплексное экологическое разрешение – документ, который выдается уполномоченным федеральным органом исполнительной власти юридическому лицу или индивидуальному предпринимателю, осуществляющим хозяйственную и (или) иную деятельность на объекте, оказывающем негативное воздействие на окружающую среду, и содержит обязательные для выполнения требования в области охраны окружающей среды.  С 01.01.2019 г. вступила в силу новая статья 8.47 Кодекса Российской Федерации об административных правонарушениях, согласно которой: осуществление хозяйственной и (или) иной деятельности на объектах, оказывающих негативное воздействие на окружающую среду, без комплексного экологического разрешения, если получение такого разрешения является обязательным, - влечет наложение административного штрафа на должностных лиц в размере от четырех тысяч до десяти тысяч рублей; на юридических лиц – от пятидесяти тысяч до ста тысяч рублей.  Таким образом, если наличие комплексного экологического разрешения (КЭР) обязательно для того или иного хозяйствующего субъекта (начиная с 01.01.2019 г.), то фактическое отсутствие такого КЭР образует состав административной ответственности, предусмотренной в ст. 8.47 КоАП РФ.  Остается понять: в каких случаях получение КЭР будет обязательным.  Итак, общая норма о необходимости получения КЭР сформулирована в п. 1 ст. 31.1 ФЗ ""Об охране окружающей среды"" (статья вступила в силу с 01.01.2019 г.): юридические лица и индивидуальные предприниматели, осуществляющие хозяйственную и (или) иную деятельность на объектах I категории, обязаны получить комплексное экологическое разрешение.  При этом срок исполнения указанной обязанности предусмотрен в другом федеральном законе – частями 6 и 7 ст. 11 Федерального закона от 21.07.2014 г. № 219-ФЗ ""О внесении изменений в Федеральный закон ""Об охране окружающей среды"" и отдельные законодательные акты Российской Федерации"".  Так, согласно с ч. 6 ст. 11 Федерального закона от 21.07.2014 г. № 219-ФЗ: юридические лица и индивидуальные предприниматели, осуществляющие хозяйственную и (или) иную деятельность на объектах I категории, включенных в утвержденный уполномоченным Правительством Российской Федерации федеральным органом исполнительной власти перечень объектов, обязаны обратиться в уполномоченный Правительством Российской Федерации федеральный орган исполнительной власти с заявкой на получение комплексного экологического разрешения в период с 1 января 2019 года по 31 декабря 2022 года включительно. В указанный перечень включается до трехсот объектов, оказывающих негативное воздействие на окружающую среду, вклад которых в суммарные выбросы, сбросы загрязняющих веществ в Российской Федерации составляет не менее чем 60 процентов.  При этом в соответствии с ч. 7 указанной статьи федерального закона: юридические лица и индивидуальные предприниматели, осуществляющие хозяйственную и (или) иную деятельность на объектах, относящихся к области применения наилучших доступных технологий и не включенных в указанный в части 6 данной статьи перечень, до 1 января 2025 года обязаны получить комплексное экологическое разрешение.  Таким образом, лица, осуществляющие деятельность: - на объектах I категории, включенных в утвержденный уполномоченным Правительством РФ федеральным органом исполнительной власти перечень объектов (далее также – перечень 300 объектов), обязаны обратиться с заявкой на получение комплексного экологического разрешения в период с 01.01.2019 г. по 31.12.2022 г.; - на объектах I категории, не включенных в утвержденный уполномоченным Правительством РФ федеральным органом исполнительной власти перечень объектов, обязаны получить комплексное экологическое разрешение не позднее 31.12.2024 г.  С учетом того, что КЭР выдается уполномоченным органом в месячный срок, можно сделать вывод, что не будет являться нарушением: - отсутствие КЭР для объекта I категории, включенного в перечень 300 объектов, в период по 31 января 2023 года включительно; - отсутствие КЭР для объекта I категории, не включенного в перечень 300 объектов, в период по 31 декабря 2024 года включительно.  Получается, что на объекте I категории, включенном в перечень 300 объектов, деятельность без комплексного экологического разрешения можно осуществлять вплоть до 31.01.2023 г., а на объекте, не включенном в перечень 300 объектов, – вплоть до 31.12.2024 г.  Однако здесь необходимо учитывать специальное правило о действии ""старых разрешительных документов"".  Ключевое значение в данном контексте имеет норма ч. 1 ст. 11 Федерального закона от 21.07.2014 г. № 219-ФЗ ""О внесении изменений в Федеральный закон ""Об охране окружающей среды"" и отдельные законодательные акты Российской Федерации"": разрешения на выброс загрязняющих веществ в атмосферный воздух, лимиты на выбросы загрязняющих веществ, разрешения на сброс загрязняющих веществ в окружающую среду, лимиты на сбросы загрязняющих веществ, нормативы образования отходов и лимиты на их размещение, полученные юридическими лицами и индивидуальными предпринимателями, осуществляющими хозяйственную и (или) иную деятельность на объектах, оказывающих негативное воздействие на окружающую среду и относящихся к областям применения наилучших доступных технологий, до 1 января 2019 года, действуют до дня получения комплексного экологического разрешения.  Дополнительно необходимо учитывать, что на основании п. 2 ст. 67 ФЗ ""Об охране окружающей среды"" лица, осуществляющие деятельность на объектах I-III категорий обязаны разрабатывать и утверждать программу производственного экологического контроля и осуществлять ПЭК в соответствии с такой программой.  Автор В.А. Алымова  ведущий юрист ООО ""Центр правовой экологии""  Коллеги, обо всех документах, регламентирующих технологическое нормирование вы сможете узнать на нашем цикле вебинаров! Успейте получить скидку на весь цикл и подписать на журнал по льготной цене 2019 года!   Познакомьтесь с ЦПО ""Парадигма"" по отзывам ваших коллег!   https://youtu.be/G6DV87m5FD0  http://promo.paradigma.center/cycle/";03 07 2019 9:30:53;55;25;https://pp.userapi.com/c854216/v854216861/84c1c/pPDR264YALY.jpg
"Обзор состояния и загрязнения окружающей среды в Российской Федерации за 2018 год  В настоящее время завершена на основе анализа и обобщения данных наблюдений государственной системы наблюдений за состоянием окружающей среды с учетом данных действующих локальных пунктов наблюдений подготовка Обзора состояния и загрязнения окружающей среды в Российской Федерации за 2018 год"" (далее — Обзор).  Представленные в Обзоре результаты регулярных наблюдений за загрязнением окружающей среды свидетельствуют, что на ряде территорий и акваторий страны по-прежнему сохраняются повышенные уровни загрязнения, обусловленные поступлением загрязняющих веществ в окружающую среду от объектов промышленности и энергетики, строительства и жилищно-коммунального хозяйства, транспорта, а также в ходе обращения с отходами производства и потребления. По сравнению с 2018 годом в 2019 году практически не изменилось количество населенных пунктов с очень высоким уровнем загрязнения атмосферного воздуха и количество створов с высоким уровнем загрязненности воды на водных объектах.  Это обусловлено отсутствием эффективного экономического механизма предотвращения загрязнения, стимулирующего субъекты хозяйствования сокращать выбросы и сбросы загрязняющих веществ в окружающую среду, а также ограниченными ресурсами, сдерживающими перевод объектов на работу по наилучшим доступным технологиям, а также внедрение современного пыле-газо- и водоочистного оборудования, установок и сооружений. Представленная в Обзоре информация будет полезна органам государственной власти Российской Федерации для оценки эффективности реализуемых мер, направленных на достижение определенных Указом Президента Российской Федерации от 7 мая 2018 г. №?204 национальных целей в сфере экологии до 2024 года, связанных с кардинальным снижением уровня загрязнения атмосферного воздуха в крупных промышленных центрах и экологическим оздоровлением водных объектов, включая реку Волгу, и сохранением уникальных водных систем, включая озера Байкал.  https://news.ecoindustry.ru/2019/07/obzor-sostoyaniya-i-zagryaznen/";02 07 2019 2:40:00;44;13;
"Брошюра общественной палаты Самарской области ""Новая система обращения с твердыми коммунальными отходами""  http://www.tgl.ru/files/tinymce/tko-2019_optimized_file_1550815322.pdf";01 07 2019 23:40:00;19;6;https://pp.userapi.com/c858436/v858436362/7ae9/j1odR8J1_8o.jpg
Установлен и пересмотрен Перечень объектов, владельцы которых должны осуществлять мониторинг атмосферного воздуха   В соответствии с п. 3 ст. 23 Федерального закона от 04.05.1999 года № 96-ФЗ «Об охране атмосферного воздуха» Управление Росприроднадзора по Республике Саха (Якутия) совместно с ФГБУ Якутское Управление гидрометеослужбы установили и пересмотрели перечень объектов, владельцы которых должны осуществлять мониторинг атмосферного воздуха.  Перечни ЮФО и СКФО http://dep.yugmeteo.donpac.ru/natureusers/list/;01 07 2019 22:11:53;25;4;https://pp.userapi.com/c849228/v849228362/1ced48/WdV53qlRIfA.jpg
Авансовые платежи за негативное воздействие в 2019 году  Автор С. В. Губанова, Минприроды России  Приближается срок внесения авансовых платежей за негативное воздействие на окружающую среду. Об основаниях для уплаты и перспективах изменений читайте в статье.  Прочитать статью полностью.  https://news.ecoindustry.ru/2019/04/avansovye-platezhi-2/;01 07 2019 21:54:35;48;17;
Подскажите пожалуйста, какой готовится законопроект по полистиролу?;01 07 2019 16:07:46;0;0;
