Text;Date;LikesCount;RepostCount;URLs
Приглашаем к сотрудничеству авторов студенческих работ по ЭКОЛОГИИ. Вашим преимуществом будет: уверенное владение ПК, умение грамотно обрабатывать и подбирать материал, внимательность, пунктуальность. Для авторов студенческих работ предусмотрен свободный график, работа является удаленной. Доход высокий и круглый год. Ждём Ваше резюме на почту mg-raspred2016@yandex.ru , по всем вопросам обращаться 89506990081;02 07 2019 14:32:06;0;0;
География всмятку  Заходер Борис Владимирович  Батюшки! Глобус попал под автобус! Смялся в лепёшку новёхонький глобус! Многое наша Земля повидала, Но не видала такого скандала  Неузнаваема стала планета: Всё перепуталось: части света, Моря, острова, океаны, Все параллели и меридианы.  Компасы бедные бьются в истерике: Северный полюс в южной Америке, Южный распался как менее прочный На два – на западный и восточный.  Африка сделала сальто-мортале, Дыбом обеи Америки встали, И в завершение безобразия Влезла в Австралию Малая Азия.  Слышите? Слышите шип ядовитый? Это кипит океан Ледовитый, Он заливает пустыню сахара И превращается в облако пара.  От высочайшей горы Эвереста Ныне осталось мокрое место, А знаменитое озеро Эри Спряталось где-то в глубокой пещере.  Белое море – совсем обмелело, Чёрное море – совсем побелело, И неизвестно даже учёным Белым его называть или Чёрным?  Вместо могучей реки Ориноко Пик Ориноко стоит одиноко И, очевидно, сильно страдает, Так как теперь никуда не впадает.  Белый медведь носится по лесу, Ищет дорогу на родину, к полюсу, Ну а под ёлкой сидит, оробев, Мишку впервые увидевший лев.  Где-то в Антарктике громко ревёт Синий от холода бегемот: «Эй, не пора ли вернуться к порядку? Нам не нужна география всмятку!»  Я.Аким Есть одна планета - сад В этом космосе холодном. Только здесь леса шумят, Птиц скликая перелетных,  Лишь на ней одной цветут Ландыши в траве зеленой, И стрекозы только тут В речку смотрят удивленно. Береги свою планету - Ведь другой, похожей, нету!;02 07 2019 3:26:50;1;0;
На сегодняшний день Евросоюз может похвастаться самым прогрессивным в мире законодательством в сфере борьбы с глобальным потеплением.    Как проходит самый успешный на сегодняшний день эксперимент по борьбе с изменениями климата и с какими трудностями сталкивает, «Европульсу» рассказал старший эксперт Федерального агентства окружающей среды Австрии Гилберт Ахамер: https://euro-pulse.ru/eurotrend/ostanovit-globalnoe-p..    #климат #политика #глобальноепотепление #европульс #статья@europulse;01 07 2019 11:58:44;0;0;
"Добрый день. В 2014 году был разработан проект ПДВ на 5 лет, в учреждении имеется котельная, работающая на каменном угле ,по НВОС наш объект отнесен в III катерогие. С 2019 года внесены изменения в природоохранное законодательство. Вопрос к экологам: нужно ли готовить новый проект ПДВ? За 5 лет ничего не изменилось относительно объекта по НВОС. Ответы на это в интернете противоречивы...Кто то дает пояснение, что надо проект ПДВ, т.к нужна программа ПЭК на основании данных замеров, кто то пишет , что том ПДВ не нужен. В выбросах и произведенных замерах в 2014 году выявлены вещества код 0304- Азот (II) оксид (Азота оксид) ПДК =0,005638, и код 0703 Бенз/а/пирен (3,4-Бензпирен) ПДК-0,002682. В экспертном заключении ""Роспотребнадзора"" написано, что данные вещества, для которых не требуется детальных расчетов загрязнения атмосферы. Срок действия ПДВ заканчивается в августе. Помогите разобраться в данном вопросе.";01 07 2019 10:02:41;1;0;
Инженеры из Германии о том, чем Нур-Султан похож на Дубай, Шанхай и Токио, об уровне промышленности в Казахстане и особенностях сельского хозяйства.  https://weproject.media/articles/detail/inzhenery-iz-germanii-o-tom-kak-pomogayut-razvivat-promyshlennost-i-selskoe-khozyaystvo-v-kazakhstan/;01 07 2019 6:22:28;0;0;
Необычные огурцы выросли в Подмосковье;29 06 2019 10:21:39;0;0;
https://vk.com/anton_chemist?w=wall137262219_581;29 06 2019 9:29:42;0;0;
Что такое #Территориясмыслов?    ТС – это самая крупная образовательная площадка России.  ТС – это Форум, который собирает около 6000 профессионалов в самых разных сферах со всей России.  ТС – это тренд-сессии, проектирование собственных проектов, мастер-классы, дискуссии с лидерами мнений, нетворкинг.    И это ещё не всё! Да, #росмолодежь?    Ежегодно ТС собирает крутейших комьюнити в стране: медийных личностей, предпринимателей, звёзд спорта, политических лидеров, которые делятся опытом на лекциях и open-talkах и, конечно, вдохновляют!    В этом году ТС делится на 6 смен-экосред: «Образование», «Политика», «Волонтёры», «ИТ», «Экология» и, конечно, «Россия - страна возможностей». И в каждой смене своя тема, своя задача, свои личности, своя атмосфера, свои таланты, которые в итоге собираются в единое #ТСнавсегда    Команда Форума – спикеры, эксперты и модераторы. Они знают, как сделать так, чтобы твои таланты сияли ярче, а настроение прыгало выше показателей термометра (да, ТС19 обещает быть очень жаркой!)    Итак, что такое #Территориясмыслов?    ТС – это место, которое ждёт именно ТВОИ идеи и ТВОЮ энергию. Это место, которое ждёт именно тебя!      Переходите по ссылке: https://myrosmol.ru/event/23853    #усиленовышкой;26 06 2019 18:39:02;0;0;https://sun3-3.userapi.com/c850024/v850024741/1a81c1/kmHMShoAysI.jpg
С Днём Альфы!  https://www.youtube.com/watch?v=K-ExF6v24eM;26 06 2019 17:49:01;0;0;https://pp.userapi.com/c854416/v854416246/7be64/-QBSqOuNDDU.jpg
[club115427162|Эко \ музыкальная группа];25 06 2019 9:14:52;0;0;https://pp.userapi.com/c849124/v849124616/1cafc6/peC40MpUB8Y.jpg
