Text;Date;LikesCount;RepostCount;URLs
ZERO WASTE КАК ВЕРШИНА ЭКОЛОГИЧЕСКОГО СОЗНАНИЯ    Если вы уже на глаз отличаете один вид пластика от другого, ваши контейнеры для сортировки отходов полны до краев, и вы не выходите из дома без пары многоразовых сумок, возможно, вы уже готовы к тому, чтобы сделать шаг к абсолютной вершине «зеленого» образа жизни. Мы говорим о zero waste или об отсутствии в доме мусора, особенно того, что отправляется на свалку.    И это вполне достижимо. Для этого, конечно, придется несколько изменить свой образ жизни. К тому же нужно понимать, что «ноль отходов» — понятие условное, и у каждого своя граница, которая зависит от жизненных обстоятельств. Под “zero waste” понимается отсекание всех ненужных и неразумных трат, при этом понимание «ненужного» у каждого будет свое.    Идеям безотходного образа жизни уже несколько лет. Прародительницей движения многие называют Беа Джонсон — именно ее книга Zero Waste Home (2013) заразила идеями целые массы. Беа Джонсон, француженка по происхождению, сейчас живет в Калифорнии, ведет блог Zero Waste Home и разъезжает по миру с лекциями о безотходном образе жизни.    Она вместе с другими известными гуру Zero Waste — Кэтрин Кэллог (блог Going Zero Waste) и Лорен Сингер (блог Trash is for Tossers) — с гордостью демонстрируют, каких успехов им удалось достичь на пути к нулю отходов. Весь их мусор за год, а то и за несколько лет умещается в маленькую баночку.    «На самом деле, сокращение бытовых отходов до «нуля» — это череда небольших изменений, которые со временем и приводят к ощутимым результатам. Если подумать, хождение в магазин с многоразовой сумкой нельзя назвать революционной переменой в жизни, — замечает Кэтрин Кэллог. — И от того, что вы начнете покупать кофе в свою кружку вместо одноразовых стаканчиков, мир тоже не перевернется».    Важно понимать, что движение Zero Waste — это не блажь, возникшая на пустом месте, а реакция на глобальную проблему все растущих объемов мусора, производимых каждым из нас. Так средний житель развитой страны сегодня производит около 1,9 кг мусора в день, большая часть которого (особенно в России) отправляется на свалку.    Сократить поток мусора в ваш дом помогут простые шаги. Первые три Reduce-Reuse-Recycle уже не первый год звучат как мантра на Западе. Но некоторые идут дальше и отваживаются на четвертый.    ??REDUCE: сокращайте потребление. Просто перестаньте покупать всякое ненужное барахло. Вы сами вздохнете после этого свободнее.    ??REUSE: выбирайте многоразовое. Распрощайтесь с одноразовыми стаканчиками для напитков на вынос, пластиковыми трубочками, пакетами и салфетками. Вещи должны использоваться многократно. Это также предполагает выбор в пользу вещей second hand, будь то одежда или электроника.    ??RECYCLE: сортируйте и сдавайте на переработку все, что только можно. Сюда относятся и телевизоры со смартфонами и конверты из почтового ящика. Но помните, что в приоритете всегда остаются первые два пункта, т.е. отказ и сокращение. В том, что вы будете скрупулезно сдавать на переработку десятки пластиковых бутылок из-под воды, экологического смысла мало. Лучше носите с собой многоразовую бутылку с водой!    ??COMPOST: компостируйте пищевые отходы. Пищевые и другие биоразлагающиеся отходы (например, засаленная бумага) гораздо быстрее и безопаснее разложатся в компостере или компостной куче, чем на свалке.    Хотя каждый из нас может сделать немало, чтобы облегчить вес своего мусорного ведра, если мы хотим реальных перемен, нам нужна поддержка тех, кто производит все эти продукты и вещи, что потом оказываются на свалке.    По словам Кэтрин Кэллог, нам необходимо «перестроить систему» так, чтобы в ней не осталось места ненужным тратам ресурсов в виде мусора и свалок. А для этого люди должны требовать от бизнеса и своих правительств большей экологической ответственности. «Потребители должны давить снизу, и политики будут реагировать на меняющиеся общественные настроения».    Но пока не произошли эти глобальные перемены, мы должны делать то, что в наших силах. Вот несколько советов на каждый день, которые помогут вам максимально уменьшить вес вашего мусорного ведра.    ??Берите в магазин или на рынок многоразовые сумки. Если вы передвигаетесь на личном автомобиле, держите в нем запас из нескольких сумок.    ??Пересмотрите свои покупательские привычки. Не покупайте продукты в избыточной упаковке, а также готовые и консервированные продукты, вместо них отдавайте предпочтение свежим продуктам без упаковки. Покупайте на развес. Берите с собой многоразовую тару: контейнеры для десертов и выпечки, банки для молочных продуктов, тканевые мешки для пасты и макарон и фруктовки для овощей и фруктов.    ??Носите с собой многоразовую кружку, если вы любитель кофе на вынос. А также бутылку для воды. Хватит уже с нас этих одноразовых стаканчиков и пластиковых бутылок. В некоторых местах, например в Starbucks, вам даже сделают скидку, если вы протяните им свой тумблер.    ??Пользуйтесь, как в старые добрые времена, тканевым носовым платком. Откажитесь от одноразовых салфеток. Ведь люди не одно столетие без них как-то обходились.    ??Откажитесь от пластиковых трубочек для напитков. В одних только Соединенных Штатах их используют 500 миллионов штук каждый день! Если же вы никак не можете обойтись без трубочки, купите себе многоразовую трубочку, например, из стали. И не забывайте в кафе и ресторанах предупреждать официантов приносить напитки без трубочки.    ??Обратите внимание на средства гигиены. Замените пластмассовый станок для бритья на металлический, а зубную щетку — на бамбуковую.  Источник: https://science.howstuffworks.com/environmental/green-science/reaching-zen-zero-waste.htm;29 06 2019 9:33:00;36;13;https://pp.userapi.com/c830401/v830401723/1a23fb/weIPMcxf8RY.jpg
Присоединяйтесь к флешмобу «Дни разумного потребления» вместе с [club37488526|Zavtra Festival]!  С 19 по 21 июня организаторы эко-фестиваля призывают вас всех сделать хотя бы одно маленькое, но важное дело в пользу экологии: сложить покупки в шопер или бумажный пакет, сдать макулатуру, заменить свою зубную щетку на бамбуковую, взять кофе с собой в многоразовый стакан ?? Обязательно расскажите об этом в любой социальной сети с хэштегом #сделалzavtra и призывайте своих друзей присоединиться! Все участники флешмоба получат 20% скидку на билеты на фестиваль в любом городе.   Также в течение этих дней организаторы фестиваля, музыканты события и партнеры своим примером покажут, как важно подумать о завтра уже сегодня. Привыкать к осознанному потреблению легче, чем кажется ?? Давайте начинать!;19 06 2019 16:00:52;25;6;https://pp.userapi.com/c854428/v854428553/71dcf/0sbgGtr93bc.jpg
Каково это - жить, почти не оставляя после себя мусора в условиях российской реальности?;19 06 2019 13:24:21;440;105;https://sun3-1.userapi.com/c848620/v848620927/99725/m2nEae-DQls.jpg
Русскому СЕВЕРУ грозит экологическая катастрофа!    Московские отходы решено везти за тридевять земель... на болото #Шиес в Архангельской области!!!    Где находится Москва и где находится Шиес?! Расстояние 946 километров. Строящийся полигон будет самым крупным в Европе ( 5 ж/д составов в день, на площади 5 тыс. Га, в течение 20 лет)    Топливо для работы техники доставляют воздушным транспортом! -тоже удовольствие не из дешевых. Сиюминутная радость от полученных доходов для одних, заставит страдать других.    В 21 веке, в веке нанотехнологий мусор просто упакуют в пленку и выгрузят в болото. Под действием солнца, ветра, дождя, а также процессов брожения и гниения вся эта гадость попадёт в болото! Это недопустимо!    Только раздельный сбор отходов и строительство мусороперерабатывающих заводов предотвратят экологическую катастрофу, нависшую над всей страной, а также позволит будущим поколениям созерцать всю красоту природы!!!    Из болот Шиеса берут начало более 70 тысяч рек и ручьев, такие реки как Вычегда и Северная Двина, далее Белое море и весь Баренц регион!    Нельзя подвергать опасности ни местное население (вся Архангельская область и Республика Коми) - вода будет отравлена, ни экологию-рядом заповедники, уже уничтожен лес и краснокнижные растения!    Люди на севере живут лесом-грибы, ягоды. Порой это единственный источник доходов. А реки-они будут отравлены, ни о какой рыбной ловле и речи быть не может.    Люди, простые люди противостоят творящемуся хаосу/беспределу. Стоят за себя, за будущее своих детей, за возможность жить...за справедливость, за нравственность...    Помогите нам пробить информационную блокаду, пожалуйста!    Федеральные СМИ замалчивают, в поисковике можно найти только лишь часть информации, и то «выгодноприукрашенной» только для инвесторов... народ против, проходят митинги, пишутся заявления во всевозможные структуры, поступают ответы-одни отписки...  Источник: [club31239753|Движение Жизни];18 06 2019 16:15:00;551;188;https://pp.userapi.com/c855232/v855232321/6b22b/iAJC5MJ1gag.jpg
ЦВЕТЫ ИЗ МУСОРА. ЖИТЕЛЬ ДОНА ПРЕВРАТИЛ СТИХИЙНУЮ СВАЛКУ ВО ФРУКТОВЫЙ САД    Житель Новочеркасска Ростовской области на свои деньги арендовал землю, захламлённую вонючим мусором, и превратил участок в цветущий сад.    Купили дом с видом на вонючие горы    Житель Новочеркасска Виктор Рукавишников открывает калитку. Мы попадаем в зелёную рощу-сад с искусственными тропинками, тихими закутками, похожими на цветочный альпинарий. Рядом друг с другом соседствуют плодовые деревья — яблоня, груша, алыча, айва. Виноград, аккуратно подвязанный, тянется по гребню склона.    Внизу проходит железная дорога Ростов – Москва, еще дальше взору открывается вид на речку Аксай с кудрявыми берегами. Если спуститься с бугра, то можно выйти на железнодорожную станцию Студенческую.    Бросательный рефлекс    Семь лет назад на этом месте была зловонная свалка, появившаяся благодаря самим же жителям. Теперь тут пахнет розами и свежей листвой деревьев.    «В советское время здесь возле обрыва стояла лавочка, и мы с будущей женой на ней сидели, встречали закат, ходили на речку отдыхать, ловить рыбу», — рассказывает свою историю новочеркасец.    В 1990-х Виктор Рукавишников служил в армии в Прибалтике, был инструктором по вождению и хотел связать судьбу с военной профессией. Но не сложилось, попал под сокращение, вернулся на малую родину в Новочеркасск, женился.    Первые годы совместной жизни молодая семья скиталась по съемным квартирам, пока жена Виктора Светлана не прочитала объявление о продаже частного дома в переулке Коротком. Место им было хорошо знакомо, мимо дома влюбленные часто ходили на речку рыбачить, сидели на той лавочке… По цене с хозяевами договорились быстро, таким образом сбылась мечта — у Рукавишниковых появился свой дом. Правда, одно расстраивало: перед окнами за годы перестройки выросла огромная свалка мусора. Поэтому домовладение долго не продавалось.    Трактор оказался бессильным против нерях    «Я решил самостоятельно избавиться от зловонного хлама, с помощью трактора расчистили территорию, посадили деревья», — вспоминает Виктор Рукавишников.    Но благодарности семья не получила: мусор продолжали свозить на склон машинами. Молодые саженцы погибли. Никакие аргументы в пользу защиты природы не действовали на нерях. Свалка на склоне росла, ее могли видеть пассажиры поездов Ростов – Москва, подъезжая к Новочеркасску. Однако энтузиаст не сдавался. Поставил бетонные швеллера, блокируя подъезд машин к несанкционированной помойке. Но и эта защита не помогала — люди с соседних улиц несли мусор в пакетах и мешках.    Фруктовый сад вырос на помойке    Поняв, что уговоры и беседы на грязнуль не действуют, Виктор Рукавишников пошел на необычный шаг — написал заявление в администрацию города с просьбой отдать прилегающую землю в аренду. Комиссия мэрии приехала на место, полдня вымеряла территорию.    Чиновники удивленно переглядывались между собой, не понимая, зачем брать зловонную помойку в аренду. Заявление горожанина рассмотрели оперативно и… дали разрешение. Ответственность семьи Рукавишниковых перед городским сообществом составляет три сотки, что равносильно половине футбольного поля, а в реальности получилась длинная полоска земли над оврагом, его гребень.    «Я — среднестатистический россиянин, у меня нет больших денег, кормит семью малый бизнес, но все же нашел средства, чтобы оформить кадастровые документы, заплатить причитающийся налог», — поясняет Виктор, добавив, что деньги ему бы очень пригодились на строящийся дом. Нынешнему дому, где живет его семья с двумя детьми, уже около 100 лет. «Хочу жить в этом уютном месте и радоваться красоте донской природы», — говорит глава семьи.    В начале своего пути по облагораживанию склона они даже не подозревали, какие приключения им предстоит пережить. Первым делом они с женой и доброжелательно настроенными соседями огородили участок сеткой-рабицей, преградив подход к оврагу. Затем завезли землю для засыпки мусора.    Большинство жителей с пониманием отнеслись к новшеству, тем более, что у соседей имелись ключи от калитки. Но некоторые встретили инициативу в штыки, кричали вслед: «Найдем на тебя управу, все равно разберем ограду!»    Однажды утром Рукавишниковы обнаружили у себя под забором пакеты мусора. Хозяин не растерялся и в такой ситуации. Обследовав содержимое, он с точностью определил, с чьего двора принесли «подарок», и на тачке отвез его обратно…    Креативом по проблеме    Плодовый сад Рукавишниковы сажали несколько раз. Два раза молодые деревья сгорали, так как мусор, скопившийся за многие годы на склоне, высох и загорелся. Со временем 15-метровый склон укрепили автомобильными покрышками, засыпали черноземом, и теперь на нем растет зеленая трава, которую хочется потрогать руками.    Виктор Рукавишников вспоминает другой эпизод, омрачивший его старания. В саду вырыли искусственный прудик и запустили туда диких уточек. Но однажды птиц обнаружили мертвыми. Кто-то с рогатки убил птиц, стреляя по ним через забор. После этого случая решили уток не заводить…    С уважением к своей земле    Муниципальная мусорная машина ездит по переулку Короткому, где живут Рукавишниковы, регулярно, через день. Для цивилизованного сбора мусора стоят специальные контейнеры. Тем непонятнее поведение жителей, которые продолжают сбрасывать мусор на склон. Очередной несанкционированный очаг появился рядом с арендованной землей Рукавишниковых.    «Люди выходят со своих дворов и выливают отходы, помои прямо на дорогу. Это характерно для окраин города, где я живу, где отсутствует канализация, но ведь это не выход из положения!» — сетует Виктор Рукавишников.    Сад Рукавишниковых плодоносит неважно: сливы и яблоки опадают, еще не успев созреть. Но этот факт не особо расстраивает хозяина горы. Сами деревья находятся в хорошем состоянии, прижились, а для выращивания фруктов необходимо дополнительное обслуживание, опрыскивание, на что не хватает времени.    Рукавишников обращает внимание на свое владение: земля в саду на полметра просела, пошла трещина, поэтому необходимо снова землю завозить.    «Хочу, чтобы мои земляки относились к земле с уважением, чтобы родители учили детей с раннего возраста не бросать обертки от конфет где придется, и тогда наш город станет еще красивее и чище», — подводит итог новочеркасец.  Источник: http://www.aif.ru/society/people/cvety_iz_musora_zhitel_dona_prevratil_stihiynuyu_svalku_vo_fruktovyy_sad;12 06 2019 11:26:20;628;106;https://pp.userapi.com/c840720/v840720388/5db67/pI4GpTXLFEE.jpg https://pp.userapi.com/c840720/v840720388/5db5f/TKBxoQn3H1c.jpg https://pp.userapi.com/c840720/v840720388/5db58/lNL4RqFKx6M.jpg https://pp.userapi.com/c840720/v840720388/5db50/FQlU9-fxHvY.jpg https://pp.userapi.com/c840720/v840720388/5db48/qkWkJu_uzes.jpg https://pp.userapi.com/c840720/v840720388/5db40/Cum3YXMkRDs.jpg https://pp.userapi.com/c840720/v840720388/5db38/oG-m41Wqq4I.jpg https://pp.userapi.com/c840720/v840720388/5db30/VZCZuSjAJ8g.jpg https://pp.userapi.com/c840720/v840720388/5db28/S5hasvOXYNo.jpg
"КАК НЕМЕЦКАЯ СЕМЬЯ СОКРАТИЛА СВОЙ БЫТОВОЙ МУСОР ДО ДВУХ ЛИТРОВ В ГОД    Немцы слегка помешаны на экологии. Забота об окружающей среде - существенный фактор их повседневной жизни. Но то, как пекутся об окружающей среде Ханна Сартин (Hannah Sartin) и Карло Краус (Carlo Krauss), удивляет даже немцев. Они решили уменьшить практически до нуля количество неорганического мусора, который производит их семья. И сейчас написали об этом книгу под названием ""Как мы ухитряемся жить без мусора"".    И как же действительно их семья ухитряется обходиться без мусора? Или, точнее, почти без мусора: по словам Ханны Сартин, весь неорганический мусор, которые она, ее муж и две маленькие дочери выбрасывают в год, может уместиться в двухлитровой банке. Как считает Ханна, ничего особенно сложного в этом нет. Скажем, утром они чистят зубы не зубной пастой, пластиковые тюбики которой рано или поздно приходится выбрасывать, а специальными таблетками для чистки зубов, выпускающимися для туристов. Это что-то вроде прессованного зубного порошка. Раскусываешь - и чистишь зубы. Зубная щетка - не пластиковая, а деревянная, щетина ее - натуральная.    Со своими мешочками    Завтракает семья овсяными или пшеничными хлопьями, которые покупаются в магазине вразвес. Молоко - не из пакета, а из стеклянных бутылок, которые можно сдать. Варенье, овощи, фрукты, зелень, масло и многое другое приобретается на крестьянском рынке раз в неделю. Ханна Сартин приходит туда со своими баночками и полотняными мешочками, и ей не приходится каждый раз использовать новый целлофановый пакет или новую баночку из пластмассы.    Она признается в книге, что люди порой смотрят на все это хозяйство с большим удивлением. В супермаркетах часто отказываются пересыпать те или иные продукты в тару Ханны: это негигиенично. Поэтому чаще приходится ходить на рынок. Это не всегда удобно, поэтому Ханна и ее муж Карло нашли довольно остроумный выход: они открыли свой собственный магазинчик, где торгуют либо на вес, либо заказывают товары в упаковках, пригодных для переработки. Конечно, что-то приходится покупать и в супермаркетах, и тут Ханна обычно прибегает к хитрости: она говорит, что у нее аллергия на пластик и протягивает одну из своих ""торбочек"".    О том, как сшить мешочки для покупок в домашних условиях, также рассказывается в ее книге, причем со всеми подробностями, выкройками и так далее. Как-то в интервью журналист одного известного молодежного журнала не без ехидства спросил Ханну: а как ее друзья и близкие реагируют на столь фанатичную борьбу с мусором? Не кажется ли им эта причуда, мягко говоря, странной? ""Не кажется. Кроме того, это не причуда, и ничего фанатичного здесь нет, - ответила на это Ханна Сартин. - Правда, поначалу кто-то из родных и друзей действительно думал, что у нас крыша поехала. Но потом они привыкли и сами стали следить за тем, чтобы отходов было как можно меньше"".    Начинать, по ее мнению, можно и нужно с отказа от пластиковых пакетов. Это самое простое. Полотняные сумки и бумажные пакеты вполне могут их заменить.    Действительно ли вам это нужно?    Кроме того, Ханна Сартин советует меньше покупать. Рекламу из серии ""купить два по цене одного"" она считает преступлением против экологии. ""Хорошенько подумайте: действительно ли вам это нужно?"" - пишет она. И сама же отвечает: ""Вы сами удивитесь, как часто ответом будет ""нет"". Потребительские позывы надо сдерживать. А если покупка все-таки неизбежна (например, окончательно испустил дух старый компьютер), то, возможно, стоит приобрести не новый, а подержанный. Заодно и деньги сэкономите.    В книге ""Как мы ухитряемся жить без мусора"" говорится и об этом ""побочном"" аспекте. Справедливости ради нужно сказать, что экономия мусора не всегда автоматически означает экономию денег, особенно на первых порах. Так, например, плиточный шоколад, продающийся на вес, стоит дороже, чем шоколад в обертке.    К тому же жить совсем без мусора, как признается Ханна Сартин, не удается и ей с мужем: ""Мы ведь покупаем, например, таблетки от головной боли и пользуемся презервативами"".  Источник: https://www.dw.com/ru/как-научиться-жить-без-мусора/a-37565295?maca=ru-EMail-sharing";11 06 2019 17:28:23;81;14;https://pp.userapi.com/c850428/v850428034/3008d/e8_0EAbzLp0.jpg
3 июня - всемирный день велосипеда! Передвигайся на велосипеде - сохрани природу!;03 06 2019 10:13:00;66;12;https://pp.userapi.com/c849128/v849128606/174d9/zdX6buIEFu4.jpg
"ПОЛИЭТИЛЕНОВЫЕ ПАКЕТЫ НАНОСЯТ СЕРЬЁЗНЫЙ ВРЕД ЭКОЛОГИИ    Пластиковые пакеты, которыми мы привыкли пользоваться в супермаркетах, обычно изготовлены из полиэтилена. Полиэтиленовые пакеты (ПЭ-пакеты) появились в середине 50-х годов в Америке и сразу же завоевали огромную популярность. Когда пластик вошел в нашу повседневную жизнь, это казалось революцией - удобно, практично, дешево. Однако весь мир уже осознал, какой вред это наносит экологии планеты.    В окружающей среде выброшенные пакеты сохраняются длительное время и не подвергаются биологическому разложению. Таким образом, они образуют устойчивое загрязнение.    4 триллиона пакетов в год используется в мире. Они убивают 1 млн птиц; 100 тысяч морских млекопитающих и неисчислимые косяки рыб. 6 млн 300 тысяч тонн мусора, большую часть которого составляет пластик, ежегодно сбрасывается в Мировой океан. Капитан Чарлз Мур, участвующий в морских путешествиях Морской исследовательской организации «Альгалита» (AMRF), пришел к выводу, что четвертая часть водной поверхности покрыта плавающим пластиковым мусором. Ежегодно от пластиковых кульков только в Ньюфаундленде умирают более 100 тысяч китов, тюленей, черепах. Поэтому оборот полиэтиленовых пакетов вызывает серьёзные возражения экологов. По этой причине в ряде стран использование полиэтиленовых пакетов в качестве бытовой упаковки ограничено или запрещено.    За покупками наши дедушки и бабушки всегда ходили со своими сумками из хлопка или лозы. Простая авоська использовалась ими, пока практически не сгнивала, и то ее старались всячески восстановить и подшить.    Когда в магазин иду я, то для удобства и чтобы освободить руки, использую легкий матерчатый рюкзак. Он занимает мало места, и его всегда можно взять с собой.    Помни, что ты являешься неотъемлемой частью нашей планеты! И именно тебе решать, быть ли на ней раковой клеткой, которая паразитирует, или клеткой, которая поддерживает всю систему!";02 06 2019 17:18:44;151;44;https://pp.userapi.com/c846120/v846120918/5d2a1/hHA4PoyqEWI.jpg
[club37488526|Музыкальный фестиваль Zavtra] объявляет новых артистов лайнапа!   10-11 августа в Санкт-Петербурге выступят Нино Катамадзе, Меджикул, Super Collection Orchestra, KENAKO и SPB Blind Orchestra. Они присоединятся к ZAZ, Ивану Дорну, Therr Maitz, All in Orchestra и Junkyard Storytellaz ?? Фестиваль состоится и в Москве – 10 августа в «Зеленом театре» выступят ZAZ, Мумий Тролль, Therr Maitz, Zventa Sventana и другие.  На Zavtra Festival будут работать музыкальные сцены, пространства мультимедийного искусства, маркет экологичных товаров, фудкорты от местных производителей и лаундж-зоны.  ?? Подробности и билеты: vk.cc/9rVA6x;31 05 2019 16:00:06;5;0;https://pp.userapi.com/c854224/v854224787/5558f/QjuIVhPEI5Q.jpg
Было бы смешно, если бы не было так грустно;30 05 2019 11:16:28;140;27;https://pp.userapi.com/c851336/v851336265/12bd97/L0Awjo_pYTw.jpg
