sep=,
Text,Date,LikesCount,RepostCount,URLs
"Мы вместе с WWF России передали в администрацию президента 163 098 подписей граждан, обеспокоенных судьбой лесов вдоль нерестовых рек и озёр. ???? Подробности: https://act.gp/2RBxaX7   Мы просим срочно принять меры, которые позволят минимизировать негативные последствия нового «закона о защитных лесах», ставящего под угрозу будущее ценных видов рыб и 50 миллионов гектаров лесов.   В течение месяца обращение граждан, переданное сегодня в администрацию президента, должно быть рассмотрено. Greenpeace и WWF будут следить за развитием ситуации.  ?? Огромное спасибо всем, кто подписывал петицию и помогал распространять информацию! ??  #ЛесаВдольРек #ЗащитимЛес #СпасемЛосося",26 06 2019 14:25:45,464,56,
"Чтобы борьба с лесными пожарами была эффективнее, нужно:  <> писать статьи;  <> снимать фильмы;  <> читать противопожарные лекции;  <> проводить уроки безопасности;  <> придумывать арт-проекты;  <> выращивать лес.    ?? Если вы умеете это делать или давно хотели попробовать, записывайтесь в добровольные лесные пожарные: http://act.gp/ru_firefighters    Борьба с пожарами — это больше, чем тушение.  ??  #остановиогонь",04 07 2019 6:00:01,30,8,
"?? Срок годности — насколько он соответствует реальности и можно ли питаться продуктами, которые отправляются с прилавков в помойку? 30% всех производимых в мире продуктов отправляется на свалку: как фуд-активисты спасают еду и что делать с продуктами, которые все же испортились?   ?? Смотрите в новом видео https://www.youtube.com/watch?v=vfbItTqEzPk",03 07 2019 16:30:00,86,15,https://pp.userapi.com/c855728/v855728630/84d14/4QBb81NF1Rg.jpg
"Наши эксперты и волонтёры собрали 13 тысяч пластиковых фрагментов, чтобы выяснить, чем загрязнены побережья Азовского и Чёрного морей.   Ответ был предсказуем: одноразового пластика больше всего. Упаковка еды, бутылки, одноразовые пакеты и посуда — от этого проще отказаться, чем искать способы сбора и переработки. Согласны?  #июльбезпластика #окаянныйпластик #порвиспакетом",03 07 2019 9:30:02,646,162,https://sun3-1.userapi.com/c858224/v858224187/9112/TE8L-5Wmc_Y.jpg https://sun3-2.userapi.com/c858224/v858224187/911c/4nX2vXzOdUI.jpg
"В Баку в минувшее воскресенье открылась 43-я сессия Комитета всемирного наследия ЮНЕСКО. Как будто специально к этому событию в России были опубликованы планы проектов, угрожающих сразу трём объектам всемирного природного наследия.   «Западному Кавказу» угрожает строительство дороги,  «Вулканам Камчатки» — курорт с гостиницами, «Девственным лесам Коми» — добыча золота.   ?? Что происходит: https://act.gp/2XHIOFq  #гринпислес",02 07 2019 14:00:04,147,20,
"?Косаток нужно вносить в Красную книгу!   Так считаем не только мы, но и кандидат биологических наук Иван Затевахин. Скоро мы вложим интервью с Иваном Игоревичем. А вы напишите в комментаях, помните ли телепередачу ""Диалоги о животных""???????",02 07 2019 12:00:13,651,29,https://pp.userapi.com/c849532/v849532277/1d0044/-IRQ3dCNCWg.jpg
"Июль в Мадриде начался с протестов. Еще в выходные жители испанской столицы вышли на улицы в знак несогласия с решением мэра, упразднившего действовавшие до этого low emission zones — зоны в городе, куда запрещен въезд неэкологичному транспорту.??  Это действие может обернуться для Мадрида значительным повышением содержания токсичных веществ в воздухе, а для местных жителей — серьезными проблемами со здоровьем. Наши коллеги из испанского офиса Гринпис присоединились к участникам акции и помогли перекрыть улицу в первый день вступления решения в силу.??  Мы считаем, что LEZ очень важны для здоровья людей. Мы надеемся, что мэр Мадрида пересмотрит собственное решение, а вслед за Испанией и Россия оборудует такие зоны в городах, чтобы все мы могли свободно дышать.  ???А пока мы продолжаем требовать от Роспотребнадзора принять меры по улучшению качества воздуха в городах России, и вы можете нас поддержать: https://act.gp/vkRPNhealth",02 07 2019 9:31:14,224,8,https://pp.userapi.com/c7004/v7004642/66b2b/U7Bn80s6pyE.jpg
"?? Из-за пожаров в Рязанской и Московской области горит большой торфяник. Местная пресса о нём почти не пишет, но ситуация серьезная.    ? В выходные с огнём боролись пожарные и квалифицированные добровольцы. Дожди, которые шли в районе пожара, помогли им там, где открыто горел лес и трава. Тлеющий торф так легко не сдаётся.    ? Какая тактика и техника поможет остановить огонь на торфянике и избежать задымления Москвы и Московской области, читайте в материале по ссылке: https://act.gp/vk-fire-0207-01 ??  #остановиогонь",02 07 2019 6:00:03,116,12,
"?Наводнение в Иркутской области — последствие изменения климата. Стихийное бедствие, из-за которого в Иркутской области по официальным данным погибло уже семь человек, подтверждает прогнозы Росгидромета о росте количества экстремальных погодных явлений, вызванных изменением климата.    В докладе о климатических рисках на территории Российской Федерации, выпущенном Росгидрометом в 2017 году, отмечено, что «на протяжении XXI в. на территории России вероятно нарастание “резкости” выпадения осадков в виде отдельных ливней или снегопадов, рост количества сильных паводков и наводнений, штормовых ветров, колебаний погоды в виде череды холодных и тёплых периодов».    ???? Подробнее о связи наводнения с изменением климата читайте на сайте https://act.gp/301mXGo    Фото: МЧС России по Иркутской области",01 07 2019 12:28:49,276,64,
"?? Сухая трава загорается при температуре около 200 градусов. Для дерева нужно ещё больше. Если бы Солнце так нагревало поверхность, мы не смогли бы жить на этой планете.    ? Солнце — фактор распространения пожара. А вот причина большинства пожаров на природных территориях - человек. 9 из 10 пожаров рукотворные. В наших силах переломить ситуацию.    ??? Каждый может остановить огонь. Поддержи добровольных лесных пожарных: https://act.gp/vk-fire-0107-01 ??  #остановиогонь",01 07 2019 10:00:00,273,56,https://pp.userapi.com/c850024/v850024029/1c75c0/9ufuNBfK9rI.jpg https://pp.userapi.com/c850024/v850024029/1c75d4/51r4G1blVJs.jpg https://sun3-3.userapi.com/c850024/v850024029/1c75de/iVpokx9Bcf4.jpg https://sun3-3.userapi.com/c850024/v850024029/1c75f2/eKkgIQTdLlw.jpg https://sun3-4.userapi.com/c850024/v850024029/1c75ca/9s7V0WSJPzE.jpg https://pp.userapi.com/c850024/v850024029/1c75e8/kPs69TUYxOc.jpg https://pp.userapi.com/c850024/v850024029/1c7605/LfW2lLTDSGE.jpg
