Text;Date;LikesCount;RepostCount;URLs
"Результаты команды [club15453|«Мусора.Больше.Нет»] в 2018 году  По китайскому календарю Новый год наступает в феврале, так что самое время подвести итоги года :)  Россия: * [club170783540|онлайн-курс «PROкачай ЭКОлайф»]: 889 зарегистрированных участников со всей России, 52 человека выполнии более 70% заданий. Повторный запуск февраль-март, зарегистрировалось + 2000 человек.  * координация акции, организация уборок и участие в Всемирном дне чистоты [club34299886|«Сделаем!2018»].   [club28998377|«Мусора.Больше.Нет», СПб и ЛО]: * [club170782765|интенсив «PROкачай ЭКОлайф»]: 2 дня, 31 спикер, 20 лекций-бесед, 12 воркшопов, 68 участников; * 44 выступления (лекции, викторины, встречи) и 15 мастер-классов от 12 экоспикеров на открытых площадках, 10 экоуроков в школах, 1300 участников/слушателей; * 5 [club174462187|игротек «Хранители Земли»]; * акция [club141454647|«Крышечки ДоброТЫ»]: 4 млн крышек (8 тонн пластика),  * 21 уборка при участии 532 добровольцев, собрали 682 мешка смешанных отходов и 287 вторсырья.  [club21818368|«Мусора.Больше.Нет», Барнаул]:  * [club158610505|«Ёлки, палки, пять бизонов»], сбор 400 хвойных, * [club159994385|«Крышки Енота»]: 1500 участников, * 4 [club156774482|фримаркета], 100 пакетов вещей,  * посадки 1,2 га леса, * [club177758249|школа волонтеров]: 11 чел, * [club158027084|«Зеленый офис»]: 59 заявок, 2500 кг. * 21 выступление, 375 слушателей, * 2 уборки, 38 чел, 26 мешков общего мусора, 10 РСО, * 13 акций по приему вторсырья, 2250 чел, 11 тыс. кг сырья.  [club19117705|«Мусора.Больше.Нет» Набережные Челны]: * проект «Экоактивы» https://vk.com/ecoactives: 35 образовательных учреждений, 35 тыс. чел, 2 тонны пластика, 72 тонны макулатуры, 8 кубометров одежды и игрушек. * 10 мастер-классов https://vk.com/ecomastnch * «Зелёное ГТО»: 8 акция, 435 человек vk.com/guzelkrasnoperova?w=wall21433940_5337 * конкурс социально-экологической рекламы «Зелёный мир-2018»: 198 заявок: vk.com/ecoactives?w=wall-19117705_3084 * 6 уборок: 637 человек, 200 мешков мусора, 100 мешков РСО, * 40 мероприятий: лекции, экоуроки, встречи, участия в конференциях, мастер-классы), 3000 чел.   [club91417951|«Мусора.Больше.Нет» Липецкая область]: * проект [club159285587|«Береги Берега»]: 4 выезда, 25 чел, 90 мешков, * метамодернфест «Береги Берега» oh48.ru/mmf: 4 лекции, 4 кинопоказа, 400 чел, * [club41209609|«Сделаем!2018»]: 8 уборок, 430 чел, 400 мешков мусора, 60 РСО,  * фестиваль [club142619102|«ЭкоБит»]: 200 чел.   [club114277605|«Мусора.Больше.Нет» Тульская область]: * 4 уборки, 30 чел, 283 мешка мусора, 121 мешков РСО, * поддержка чистоты в ранее убранных местах:  * сбор сырья на фестивале: 1 акция, 10 мешков мусора, 15 мешков РСО, * карта спасения реки Вашана, * карта родников vk.com/wall-114277605_202.  [club52964044|«Мусора.Больше.Нет» Ивановская область]: * зона на фестивале «Увлечения»: 1000 чел, * экофестиваль [club99477117|«Экодень города»]: 50 тыс. чел, * 10 уборок: 100 чел, 25 мешков мусора, 25 мешков РСО.  [club71363757|«Мусора.Больше.Нет» Нефтеюганск]:  * соорганизаторы экомарафона: 70 чел, 145 мешков мусора.  [club18302751|«Мусора.Больше.Нет» Воронеж]: * 5 уроков, 100 участников.  [club26754269|«Мусора Больше Нет» Камышин]: * 3 уборки, 140 мешков мусора, 60 мешков пластика в рамках проекта [club162536857|«Зеленый Камышин»], * установка контейнера под РСО на северо-западе Камышина.   P.S. мусор и РСО измеряются мешками по 120 литров.   #МусораБольшеНет";27 02 2019 14:26:00;31;5;https://pp.userapi.com/c852032/v852032289/b5f3a/4v55ZhyaMc4.jpg
На берегах Чёрного и Азовского морей обнаружили 13 тыс. пластиковых фрагментов  В ноябре 2018 года эксперты и волонтёры Greenpeace изучили восемь стометровых участков пляжей Чёрного и Азовского морей. Они нашли 13 тысяч пластиковых фрагментов весом полтонны.   Основные причины загрязнения побережий — безответственный отдых туристов и местных жителей, перемещение отходов из других стран, морское судоходство.  Главным загрязнителем побережья Чёрного моря оказался пенопласт, Азовского — бутылки из-под напитков и их части.   greenpeace.ru/blogs/2019/07/03/chego-bolshe-na-beregah-chjornogo-i-azovskogo-morej-odnorazovoj-posudy-ili-vlazhnyh-salfetok/;03 07 2019 10:14:20;29;7;https://pp.userapi.com/c855620/v855620177/8554a/pQNlLqntVdw.jpg https://pp.userapi.com/c855620/v855620177/85554/iuQ1WbCFwvw.jpg
Всероссийский автопробег на мусоровозах «Чистая страна» стартует 5 сентября  Современный спецтранспорт проедет от Москвы до Краснодара. Можно будет узнать, как в компании строят маршруты по вывозу отходов, как контролируется вывоз, как сортируют и перерабатывают отходы.   vk.com/@-182651176-po-rossiiskim-gorodam-proedet-sovremennaya-kommunalnaya-tehn;02 07 2019 13:01:00;8;1;
Приглашаем на фестиваль [club158135137|«Добрые люди»]!  Когда: с 29 июня по 7 июля Где: Москва, Парк Горького в Москве  Организатор: Общественная палата РФ.  На фестивале можно будет познакомиться с результатами работы гражданского общества по решению проблем, пообщаться с представителями благотворительных и общественных фондов.  1 июля на фестивале пройдет День Экологии.  В программе: * рассказ об Амурской экспедиции РГО, * беседа «Креативное решение экопроблем» от [club54005773|#МосЭко | #РосЭко], * рассуждения о продовольственной проблеме и ее решении, * информация о новой кампании WWF России «Исчезнувших не вернуть, но можно сохранить оставшихся».  Подробная программа: hvk.com/festival_oprf?w=app5575136_-15813513;29 06 2019 11:01:00;4;1;https://pp.userapi.com/c851016/v851016714/15a885/l8auiZreKWM.jpg
Совсем скоро состоится форум [club89015898|Территория смыслов]!  Когда: 5 июля-20 августа, смены по неделе Где: Московская обл., Солнечногорск Регистрация за 10 дней до смены: myrosmol.ru/event/23853  Организатор: [club49388164|Росмолодежь]    ТС – это самая крупная образовательная площадка России для молодежи 18-30 лет. ТС – это Форум, который собирает около 6000 профессионалов в самых разных сферах со всей России.  ТС – это тренд-сессии, проектирование собственных проектов, мастер-классы, дискуссии с лидерами мнений, нетворкинг.   В этом году ТС делится на 6 смен-экосред: «Образование», «Политика», «Волонтёры», «ИТ», «Экология» и, конечно, «Россия - страна возможностей».  Подробнее: территориясмыслов.рф;27 06 2019 13:39:00;2;0;https://pp.userapi.com/c852028/v852028620/151700/O8qzk3u97og.jpg
Как сделать свою жизнь более сознательной и меньше оставлять после себя мусора? Внедрите в свою жизнь 13 простых привычек!  Доступно и очень эмоционально об этом рассказывает [id4370517|Виктория Смолина]. Советуем посмотреть!  #экопривычки #экосоветы #экология #осознанность #ээкожизнь;24 06 2019 11:59:00;15;7;https://pp.userapi.com/c853620/v853620692/769f4/Mm5ERrjk3qg.jpg
Узнайте все о маркировках на товарах!  Запускается модуль «Маркировки на товарах» от [club32415468|«Экологического Союза»] и [club170357548|«Теперь так»]. Уроки раз в неделю.  Регистрация: tepertak.ru/markirovki  Маркировки — то, что помогает нам делать безопасный, экологичный выбор товаров. Сегодня их становится все больше, часть из них несёт ложную информацию. Как разобраться в маркировках? Как сделать выбор в пользу добросовестного производителя и не стать жертвой гринвошинга?  Уроки модуля разбиты на товарные группы, один урок — одна группа: продукты питания, косметика и бытовая химия, одежда, бытовая техника, материалы для ремонта и отделки. Каждый урок включает информацию о маркировках — рассказывающих о ключевых качествах товаров, объясняющих их использование и говорящих об ответственности производителя за окружающую среду и людей, занятых на производстве.  ________  «Теперь так» — бесплатный курс бережного потребления, шаг за шагом разбирает области жизни горожанина: мусор, дом, гардероб, офис, путешествия и так далее. Одно письмо на e-mail с практическими советами и лайфхаками, используя которые можно сделать свою жизнь более бережной по отношению к себе и тому, что нас окружает.  #экомаркировка #гринвошинг #экосоюз #экожизнь;21 06 2019 10:59:00;3;0;https://pp.userapi.com/c850724/v850724869/14cf59/rkmkA8la2mU.jpg
Нам предложили оценить книгу Мирко Мазелли «История мусора. От древних отходов до переработки пластика».   Скажем сразу: книга понравилась. Забавные иллюстрации, интересные факты и точные выводы. Вместе с эконавтом Морисом Ля Натюром и его верным псом Рэбби мы отправляемся в путешествие по истории мусора: узнаем, какая была канализация в Древнем Риме, какие туалеты были у «короля-солнца», каких животных держали в Средневековье и как они помогали в уборке мусора!  Судя по виду, книга для детей, но было интересно читать и активистам 30+;17 06 2019 12:16:34;131;26;https://sun3-3.userapi.com/c856036/v856036314/53936/Pwf6WI7AsFM.jpg https://pp.userapi.com/c856136/v856136314/546fe/etOp6yAV1A0.jpg https://pp.userapi.com/c856136/v856136314/54711/LxMwMvozdKc.jpg
Реквием по еде: попробуйте это переварить  Фотопроект от [club20443848|@image.group.studio] на тему невидимой проблемы, микропластика.  #МусораБольшеНет #микропластик #фотоарт #мусор #реквиемпоеде;15 06 2019 10:24:00;245;80;https://sun3-3.userapi.com/c851236/v851236066/136bd5/x4WTz7BTt2E.jpg https://pp.userapi.com/c851232/v851232066/1351dd/uvho1PWdv3I.jpg https://pp.userapi.com/c855732/v855732066/61e3b/34RqwnhhZTU.jpg https://sun3-4.userapi.com/c852028/v852028066/13b63c/TK0XieaskhI.jpg https://pp.userapi.com/c854020/v854020066/62d76/nvD_odeGDBg.jpg https://pp.userapi.com/c852016/v852016066/1338d3/oQlR-92I3CI.jpg https://pp.userapi.com/c850324/v850324066/1632c4/JC2A5FHR7Bo.jpg https://pp.userapi.com/c851124/v851124066/133644/rAzJoV16i0k.jpg https://pp.userapi.com/c852016/v852016066/1338c9/8dNKZiLj2Eg.jpg https://pp.userapi.com/c855424/v855424066/5ffdf/bsdrPwXC0EU.jpg
"Прямо сейчас, в #Сочи, проходит фестиваль экологического кино ""ЭкоЧашка"". Приходите смотреть интересные фильмы, слушать лекции и участвовать в дискуссиях!  В числе спикеров, наша организатор из МБН, Анжела Пиаже - расскажет о простых бытовых экологичных привычках, которые важны для устойчивого развития.";07 06 2019 11:38:11;11;1;
