sep=,
Text,Date,LikesCount,RepostCount,URLs
"Друзья, WWF России исполняется 25 лет!   Целых 25 лет мы вместе с вами, нашими сторонниками, занимаемся сохранением природного богатства нашей родной страны.  3 июля мы проводим традиционный юбилейный «Бал на траве». И, как и всегда, мы приглашаем вас отметить эту скромную дату вместе с нами. Благодаря партнерам нашего Фонда, мы подготовили для вас большую программу с сюрпризами, живой музыкой и вкусными угощениями. Приходите на самое «зелёное» и «дикое» мероприятие этого лета ??   На балу вас ждут:  • Тёплая компания сторонников WWF России, защитников природы;  • Выступления известных групп и музыкантов;  • Невероятной красоты фильм «Our Planet» от Netflix, показывающий природу такой, какой вы её не видели;  • Творческие и эко-полезные мастер-классы от наших друзей;  • Беспроигрышная (да!) лотерея с ценными подарками от партнеров;  • Ужин-фуршет и вкуснейший авторский торт;  • Уютный красивый вечер, который навсегда останется в вашей памяти!    Праздник украсят выступления Дениса Клявера, групп Пицца, Siberian hills, коллектива I am the North и других исполнителей.  ??А завершит вечер живое выступление большого друга WWF России Дианы Арбениной!    Чтобы стать нашим гостем, сделайте благотворительный взнос на один из проектов Фонда по этой ссылке:  https://wwf-rossii.timepad.ru/event/983508 Там же вы найдете подробную информацию о том, как получить билет, как добраться на Бал, и что взять с собой (спойлер: кроме хорошего настроения не нужно ничего).    Все собранные на вечере средства будут направлены на сохранение редких видов животных России!    Дата: 03.07.2019  Сбор гостей с 16:00  Окончание бала примерно в 22:00  Место: 4-я линия Хорошевского Серебряного Бора, пляж №3, левая сторона.  Дресс-код: непринужденный вечерний стиль    Для гостей Фонда от ст. метро «Полежаевская» будет курсировать автобус.    Приходите с друзьями и близкими! Поздравим нашу панду вместе!  Я пойду на бал: https://wwf-rossii.timepad.ru/event/983508    #WWFRussia25 #ПоколениеWWF",26 06 2019 11:56:58,251,30,https://pp.userapi.com/c854520/v854520410/7b7bc/L8JaLq58NTU.jpg
"У нас всё ещё есть шанс остановить деградацию живой природы и наш долг – сделать всё, что в наших силах: https://25.wwf.ru/    #WWFRussia25 #ПоколениеWWF",04 07 2019 6:13:51,16,5,https://sun3-3.userapi.com/c855332/v855332549/87413/qr44y6WFp60.jpg
"На юбилейном балу удалось подвести итоги работы фонда.  Итоги подвела директор по природоохранным программам WWF России Виктория Элиас вместе с председателем координационного совета Аллардом Стапелем.   Если коротко, то с каждым годом нас становится все больше, сейчас счёт идёт на десятки тысяч, а в 90-Х начиналось все с команды всего в три человека. Сегодня о нашей работе телеканал RTД снимает документальный фильм, а всемирно известное агентство BBDO создало немного пугающую социальную рекламу. Также нас поздравил Департамент природопользования Москвы, поблагодарив за работу и отдельно за акцию «Час Земли», которая заставляет  все больше москвичей задуматься о том, как их повседневная жизнь влияет на природу вокруг нас.  #wwfrussia25",03 07 2019 16:42:02,48,0,https://sun3-1.userapi.com/c543103/v543103130/55b6a/R5_ZadtQbzI.jpg https://sun3-4.userapi.com/c543103/v543103130/55b73/WLBYxTwvgv4.jpg https://sun3-3.userapi.com/c543103/v543103130/55b7c/jM8k0fl5tL0.jpg https://sun3-4.userapi.com/c543103/v543103130/55b85/GWHewFJvNOE.jpg https://sun3-2.userapi.com/c543103/v543103130/55b8e/2ICDES8lJgE.jpg https://sun3-2.userapi.com/c543103/v543103130/55b97/jFhi-1taUWk.jpg https://sun3-1.userapi.com/c543103/v543103130/55ba0/uEnmCQTBarc.jpg https://pp.userapi.com/c543103/v543103130/55ba9/sElUvDaoLlQ.jpg
"Друзья, [club133169189|ВКонтакте] сделали нам в подарок на 25-летие замечательные маски с пандой для сториз?? И ими можно уже пользоваться: https://vk.com/mask-348403_12473  А чтобы делать это было веселее, мы придумали конкурс с весёлыми призами:  1) создавайте историю с маской панды, и ставьте в сториз хештег #wwfrussia25  2) 10 июля мы выберем пять самых оригинальных, самую милых или самых забавных панд. И опубликуем их на нашей странице ВКонтакте O  3) Кроме того, победители получат один из пяти призов: – фигурка переднеазиатского леопарда от наших друзей Schleich – блокнот WWF – футболка WWF – powerbank для мобильного телефона – напоясная сумка WWF  4) Для тех, кто сомневается, что такие конкурсы не помогают природе: упоминания фонда повысят посещаемость группы, и, так или иначе, привлекут в ряды защитников природы новых сторонников ??  #wwfrussia25",03 07 2019 15:44:14,108,4,https://sun3-1.userapi.com/c543103/v543103424/49776/as5dR8XrGRs.jpg
"С юбилеем WWF России поздравляет Альбина Газдарова, заместитель директора нацпарка «Алания» ??  #WWFRussia25 #ПоколениеWWF #заповедныеинтервью",03 07 2019 10:20:00,35,1,https://pp.userapi.com/c855720/v855720077/84cb8/cG0XbsCq3jI.jpg
"Друзья, мы срочно ищем волшебных Панда-волонтеров на сегодняшний Благотворительный Бал на траве!  Когда: сегодня, 3 июля, с 17:00 до 22:00 Место: замечательная локация в Серебряном бору, на юбилейном балу WWF России.  От вас мы ждём любовь к природе и веселое настроение! О своём желании скорей пиши на members@wwf.ru с указанием контактного телефона.",03 07 2019 9:55:57,38,0,https://sun3-3.userapi.com/c543103/v543103001/89812/eTD22yDNtqo.jpg
"?? Всемирному фонду дикой природы России — 25 лет!  Пройди наш тест и узнай, кем бы ты работал в WWF!    ?? http://profession.wwf.ru/    #WWFRussia25 #ПоколениеWWF",03 07 2019 8:00:06,58,1,https://sun3-1.userapi.com/c858420/v858420347/8866/LLldSsaXEXE.jpg
"?? Юбилейный «Бал на траве» уже сегодня! Ждём вас, друзья!    Целых 25 лет мы вместе с вами, нашими сторонниками, занимаемся сохранением природного богатства нашей родной страны.  ?? 3 июля мы проводим традиционный юбилейный «Бал на траве». И, как и всегда, мы приглашаем вас отметить эту скромную дату вместе с нами. Благодаря партнерам нашего Фонда, мы подготовили для вас большую программу с сюрпризами, живой музыкой и вкусными угощениями. Приходите на самое «зелёное» и «дикое» мероприятие этого лета.    На балу вас ждут:  ? Тёплая компания сторонников WWF России, защитников природы;  ? Выступления известных групп и музыкантов;  ? Невероятной красоты фильм «Our Planet» от Netflix, показывающий природу такой, какой вы её не видели;  ? Творческие и эко-полезные мастер-классы от наших друзей;  ? Беспроигрышная (да!) лотерея с ценными подарками от партнеров;  ? Ужин-фуршет и вкуснейший авторский торт;  ? Уютный красивый вечер, который навсегда останется в вашей памяти!    Праздник украсят выступления Дениса Клявера, групп Пицца, Siberian hills, коллектива I am the North и других исполнителей. Завершит вечер живое выступление большого друга WWF России Дианы Арбениной!    Чтобы стать нашим гостем, сделайте благотворительный взнос на один из проектов Фонда по этой ссылке:  https://wwf-rossii.timepad.ru/event/983508  Там же вы найдете подробную информацию о том, как получить билет, как добраться на Бал, и что взять с собой (спойлер: кроме хорошего настроения не нужно ничего).    Все собранные на вечере средства будут направлены на сохранение редких видов животных России!    Дата: 03.07.2019  Сбор гостей с 16:00  Окончание бала примерно в 22:00  Место: 4-я линия Хорошевского Серебряного Бора, пляж №3, левая сторона.  Дресс-код: непринужденный вечерний стиль    Для гостей Фонда от ст. метро «Полежаевская» будет курсировать автобус.    Приходите с друзьями и близкими! Поздравим нашу панду вместе!      #WWFRussia25 #ПоколениеWWF",03 07 2019 6:15:00,41,3,https://sun3-3.userapi.com/c850628/v850628347/165149/9PjCYu7KC3Y.jpg
"#wwfrussia25 #wwfhistory  ?? 1996 г.  В 1996 году WWF начал программу по восстановлению зубра. Во все времена этот мощный и красивый зверь жестоко страдал от человеческих рук: неограниченный отстрел в периоды войн и революций, браконьерство, вырубка и выжигание лесов привели к тому, что к концу 90-х годов XX века в России оставалось менее 200 чистокровных животных, да и те являлись близкими родственниками. Обеспокоенный этой ситуацией, WWF начал создавать первую в европейской части России крупную популяцию вольноживущих зубров. Для этого была выбрана территория Орловской, Брянской и Калужской областей, которые являлись историческим ареалом зубра. Но откуда же взять животных, которые не являлись бы близкими родственниками и были способны дать жизнь будущему стаду? Сотрудники WWF обратились за помощью к зоопаркам Западной Европы с просьбой подарить России нескольких животных для этой благородной цели.  Были организованы семь завозов зубров из Европы, некоторых из этих животных после передержки выпустили в природу, а наиболее генетически ценных оставили в питомниках для обновления крови. Российские питомники Окского и Приокско-Террасного заповедников тоже предоставили зубров для выпуска в природу. И вот родоначальники прибыли! Какова же была всеобщая радость, когда на свет появились два первых, вольных, малыша-зубренка. А сегодня в лесах Центральной России живут уже более 850 зубров. Начата и развивается работа по возвращению вида на Кавказ: в регионе обитают свыше 130 чистокровных животных.",03 07 2019 5:10:00,147,12,https://sun3-3.userapi.com/c855016/v855016347/87086/VWqaJdS1jXk.jpg https://sun3-3.userapi.com/c855016/v855016347/8707d/3FP7eEVFOsM.jpg
"В Астраханской области и Республике Калмыкия апробирована методика учета сайгаков с применением беспилотных летательных аппаратов. Организатором работ выступил WWF России.   Учет проводился с 19 по 26 июня на сезонных концентрациях копытных у водопоев на территории [club95579867|заповедника «Чёрные Земли»], заказника федерального значения «Меклетинский» и заказника регионального значения «Степной» — основных мест обитания прикаспийской популяции сайгака.  Теперь экспертам предстоит изучить и проанализировать фото- и видеоматериалы, на основе которых будут получены точные данные о численности прикаспийской популяции сайгаков и приняты решения о дальнейшей работе по её сохранению.",02 07 2019 21:23:18,63,3,https://pp.userapi.com/c858220/v858220369/3a60/4x9Dqi--nl4.jpg https://pp.userapi.com/c858220/v858220369/3a57/7B23it4k5h0.jpg
